,period_open,period_close,starting_cash,ending_cash,positions,portfolio_value,ending_exposure,ending_value,longs_count,shorts_count,long_value,short_value,orders,starting_value,returns,starting_exposure,long_exposure,short_exposure,gross_leverage,net_leverage,pnl,capital_used,transactions,cash,positions_count,leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,max_leverage,alpha,beta,sharpe,benchmark_period_return,benchmark_volatility,sortino,max_drawdown,algo_volatility,num_positions,universe_size
2024-03-01 00:00:00+00:00,2024-03-01 03:46:00+00:00,2024-03-01 10:00:00+00:00,1000000.0,1000000.0,[],1000000.0,0.0,0.0,0,0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],1000000.0,0,0.0,0.0,0.0,1,2024-03,0.0,0.0,,,,0.0029137742053342297,,,0.0,,,
2024-03-04 00:00:00+00:00,2024-03-04 03:46:00+00:00,2024-03-04 10:00:00+00:00,1000000.0,1000000.0,[],1000000.0,0.0,0.0,0,0,0.0,0.0,"[{'id': '150fa35ce0574516a5720d283174c8d9', 'dt': Timestamp('2024-03-04 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-04 10:00:00+0000', tz='UTC'), 'amount': 150, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(18 [BANKNIFTY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a1ec69474ba5415aa878da32d807ecab', 'dt': Timestamp('2024-03-04 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-04 10:00:00+0000', tz='UTC'), 'amount': 348, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(61 [HDFCBANK]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],1000000.0,0,0.0,0.0,0.0,2,2024-03,0.0,0.0,0.0,0.0,,0.027219583485567966,0.23933233686573163,,0.0,0.0,2.0,2.0
2024-03-05 00:00:00+00:00,2024-03-05 03:46:00+00:00,2024-03-05 10:00:00+00:00,1000000.0,-44.84500000003027,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 150, 'cost_basis': 3328.0091666666667, 'last_sale_price': 3328.0}, {'sid': Equity(61 [HDFCBANK]), 'amount': 348, 'cost_basis': 1439.2053735632185, 'last_sale_price': 1439.2}]",999996.7550000001,1000041.6000000001,1000041.6000000001,2,0,1000041.6000000001,0.0,"[{'id': '150fa35ce0574516a5720d283174c8d9', 'dt': Timestamp('2024-03-05 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-04 10:00:00+0000', tz='UTC'), 'amount': 150, 'filled': 150, 'commission': 1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(18 [BANKNIFTY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a1ec69474ba5415aa878da32d807ecab', 'dt': Timestamp('2024-03-05 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-04 10:00:00+0000', tz='UTC'), 'amount': 348, 'filled': 348, 'commission': 1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(61 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",0.0,-3.2449999999295542e-06,0.0,1000041.6000000001,0.0,1.0000448451455224,1.0000448451455224,-3.244999999878928,-1000044.845,"[{'amount': 150, 'dt': Timestamp('2024-03-05 10:00:00+0000', tz='UTC'), 'price': 3328.0025, 'order_id': '150fa35ce0574516a5720d283174c8d9', 'sid': Equity(18 [BANKNIFTY]), 'commission': None}, {'amount': 348, 'dt': Timestamp('2024-03-05 10:00:00+0000', tz='UTC'), 'price': 1439.2025, 'order_id': 'a1ec69474ba5415aa878da32d807ecab', 'sid': Equity(61 [HDFCBANK]), 'commission': None}]",-44.84500000003027,2,1.0000448451455224,0.0,0.0,3,2024-03,-3.2449999999295542e-06,1.0000448451455224,-0.00031340572706262115,1.2344065367025104e-05,-9.165151389911678,0.039824625502374644,0.16965464660012217,-9.16515138991168,-3.2449999999073497e-06,2.9740916259617762e-05,2.0,2.0
2024-03-06 00:00:00+00:00,2024-03-06 03:46:00+00:00,2024-03-06 10:00:00+00:00,-44.84500000003027,-44.84500000003027,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 150, 'cost_basis': 3328.0091666666667, 'last_sale_price': 3237.9500000000003}, {'sid': Equity(61 [HDFCBANK]), 'amount': 348, 'cost_basis': 1439.2053735632185, 'last_sale_price': 1442.0}]",987463.655,987508.5,987508.5,2,0,987508.5,0.0,[],1000041.6000000001,-0.01253314067004152,1000041.6000000001,987508.5,0.0,1.000045414329705,1.000045414329705,-12533.100000000093,0.0,[],-44.84500000003027,2,1.000045414329705,0.0,0.0,4,2024-03,-0.012536345000000004,1.000045414329705,-0.8049042859933823,0.35516290616171486,-7.939994016596795,0.037833394227255956,0.18294137027534516,-7.93930872971193,-0.012536345000000039,0.09947013757966643,2.0,2.0
2024-03-07 00:00:00+00:00,2024-03-07 03:46:00+00:00,2024-03-07 10:00:00+00:00,-44.84500000003027,-44.84500000003027,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 150, 'cost_basis': 3328.0091666666667, 'last_sale_price': 3229.0}, {'sid': Equity(61 [HDFCBANK]), 'amount': 348, 'cost_basis': 1439.2053735632185, 'last_sale_price': 1446.0}]",987513.155,987558.0,987558.0,2,0,987558.0,0.0,[],987508.5,5.0128427258488983e-05,987508.5,987558.0,0.0,1.0000454120532702,1.0000454120532702,49.5,0.0,[],-44.84500000003027,2,1.0000454120532702,0.0,0.0,5,2024-03,-0.012486844999999969,1.000045414329705,-0.7947159768477016,0.3689404638436845,-7.066075442760312,0.05188162221410275,0.16116078811473833,-7.072738766066236,-0.012536345000000039,0.08906038014086458,2.0,2.0
2024-03-11 00:00:00+00:00,2024-03-11 03:46:00+00:00,2024-03-11 10:00:00+00:00,-44.84500000003027,-44.84500000003027,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 150, 'cost_basis': 3328.0091666666667, 'last_sale_price': 3208.0}, {'sid': Equity(61 [HDFCBANK]), 'amount': 348, 'cost_basis': 1439.2053735632185, 'last_sale_price': 1426.0}]",977403.155,977448.0,977448.0,2,0,977448.0,0.0,"[{'id': '3f86b1a9a2f5421e96e76802a3166bba', 'dt': Timestamp('2024-03-11 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-11 10:00:00+0000', tz='UTC'), 'amount': 2, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(18 [BANKNIFTY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f793167a50484833a98dcf640323a349', 'dt': Timestamp('2024-03-11 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-11 10:00:00+0000', tz='UTC'), 'amount': -5, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(61 [HDFCBANK]), 'status': <ORDER_STATUS.OPEN: 0>}]",987558.0,-0.010237838299987034,987558.0,977448.0,0.0,1.0000458817835511,1.0000458817835511,-10110.0,0.0,[],-44.84500000003027,2,1.0000458817835511,0.0,0.0,6,2024-03,-0.022596845000000032,1.0000458817835511,-0.819410200905565,0.2683424037000999,-10.138470226323712,0.06831384727804135,0.14835463621533831,-9.100166550211455,-0.02259684500000006,0.09413767476658233,2.0,2.0
2024-03-12 00:00:00+00:00,2024-03-12 03:46:00+00:00,2024-03-12 10:00:00+00:00,-44.84500000003027,1014.8374999999687,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 152, 'cost_basis': 3325.3169736842106, 'last_sale_price': 3122.9}, {'sid': Equity(61 [HDFCBANK]), 'amount': 343, 'cost_basis': 1439.2082890151135, 'last_sale_price': 1461.5}]",976990.1375000001,975975.3,975975.3,2,0,975975.3,0.0,"[{'id': '3f86b1a9a2f5421e96e76802a3166bba', 'dt': Timestamp('2024-03-12 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-11 10:00:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(18 [BANKNIFTY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f793167a50484833a98dcf640323a349', 'dt': Timestamp('2024-03-12 10:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2024-03-11 10:00:00+0000', tz='UTC'), 'amount': -5, 'filled': -5, 'commission': 1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(61 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",977448.0,-0.00042256616206637343,977448.0,975975.3,0.0,0.9989612612645232,0.9989612612645232,-413.0174999999581,1059.6824999999953,"[{'amount': 2, 'dt': Timestamp('2024-03-12 10:00:00+0000', tz='UTC'), 'price': 3122.9025, 'order_id': '3f86b1a9a2f5421e96e76802a3166bba', 'sid': Equity(18 [BANKNIFTY]), 'commission': None}, {'amount': -5, 'dt': Timestamp('2024-03-12 10:00:00+0000', tz='UTC'), 'price': 1461.4975, 'order_id': 'f793167a50484833a98dcf640323a349', 'sid': Equity(61 [HDFCBANK]), 'commission': None}]",1014.8374999999687,2,0.9989612612645232,0.0,0.0,7,2024-03,-0.023009862499999922,1.0000458817835511,-0.5806054650526669,0.020503746349417647,-9.439574351420102,0.04654731457800487,0.23243972254734813,-8.57886236494528,-0.02300986249999994,0.0882751478353205,2.0,2.0
2024-03-13 00:00:00+00:00,2024-03-13 03:46:00+00:00,2024-03-13 10:00:00+00:00,1014.8374999999687,1014.8374999999687,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 152, 'cost_basis': 3325.3169736842106, 'last_sale_price': 2909.8}, {'sid': Equity(61 [HDFCBANK]), 'amount': 343, 'cost_basis': 1439.2082890151135, 'last_sale_price': 1459.2}]",943810.0375000001,942795.2000000001,942795.2000000001,2,0,942795.2000000001,0.0,[],975975.3,-0.03396155060981865,975975.3,942795.2000000001,0.0,0.9989247439000668,0.9989247439000668,-33180.09999999998,0.0,[],1014.8374999999687,2,0.9989247439000668,0.0,0.0,8,2024-03,-0.05618996249999986,1.0000458817835511,-0.8762672277625013,0.4024398145488254,-9.444355267973203,0.021392035074899285,0.2754993328130735,-8.519326859792724,-0.05618996249999981,0.1904744831033539,2.0,2.0
2024-03-14 00:00:00+00:00,2024-03-14 03:46:00+00:00,2024-03-14 10:00:00+00:00,1014.8374999999687,1014.8374999999687,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 152, 'cost_basis': 3325.3169736842106, 'last_sale_price': 3085.0}, {'sid': Equity(61 [HDFCBANK]), 'amount': 343, 'cost_basis': 1439.2082890151135, 'last_sale_price': 1457.0}]",969685.8375,968671.0,968671.0,2,0,968671.0,0.0,[],942795.2000000001,0.027416322111323055,942795.2000000001,968671.0,0.0,0.9989534368134978,0.9989534368134978,25875.79999999993,0.0,[],1014.8374999999687,2,0.9989534368134978,0.0,0.0,9,2024-03,-0.030314162499999964,1.0000458817835511,-0.7213856549369142,0.4942323151082354,-3.2564442564782388,0.03138472780416479,0.2603558243600303,-4.17607510163139,-0.05618996249999981,0.25530083127920744,2.0,2.0
2024-03-15 00:00:00+00:00,2024-03-15 03:46:00+00:00,2024-03-15 10:00:00+00:00,1014.8374999999687,1014.8374999999687,"[{'sid': Equity(18 [BANKNIFTY]), 'amount': 152, 'cost_basis': 3325.3169736842106, 'last_sale_price': 3125.0}, {'sid': Equity(61 [HDFCBANK]), 'amount': 343, 'cost_basis': 1439.2082890151135, 'last_sale_price': 1454.45}]",974891.1875000001,973876.3500000001,973876.3500000001,2,0,973876.3500000001,0.0,[],968671.0,0.005368078813464239,968671.0,973876.3500000001,0.0,0.9989590248501451,0.9989590248501451,5205.350000000093,0.0,[],1014.8374999999687,2,0.9989590248501451,0.0,0.0,10,2024-03,-0.025108812499999855,1.0000458817835511,-0.579606279736698,0.42480472241822104,-2.5059624084308525,0.022634271099743808,0.25280173525315686,-3.2455128748035276,-0.05618996249999981,0.24460065520634888,2.0,2.0
