,period_open,period_close,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,returns,ending_exposure,starting_value,ending_value,starting_cash,cash,positions_count,leverage,trading_days,period_label,algo_volatility,benchmark_period_return,benchmark_volatility,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return
2024-03-01 10:00:00+00:00,2024-03-01 03:46:00+00:00,2024-03-01 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,1,2024-03,,0.0029137742053342297,,0.0,,,,,0.0,0.0,0.0,0.0
2024-03-04 10:00:00+00:00,2024-03-04 03:46:00+00:00,2024-03-04 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,2,2024-03,0.0,0.027219583485567966,0.23933233686573163,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-05 10:00:00+00:00,2024-03-05 03:46:00+00:00,2024-03-05 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,3,2024-03,0.0,0.039824625502374644,0.16965464660012217,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-06 10:00:00+00:00,2024-03-06 03:46:00+00:00,2024-03-06 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,4,2024-03,0.0,0.037833394227255956,0.18294137027534516,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-07 10:00:00+00:00,2024-03-07 03:46:00+00:00,2024-03-07 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,5,2024-03,0.0,0.05188162221410275,0.16116078811473833,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-11 10:00:00+00:00,2024-03-11 03:46:00+00:00,2024-03-11 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,6,2024-03,0.0,0.06831384727804135,0.14835463621533831,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-12 10:00:00+00:00,2024-03-12 03:46:00+00:00,2024-03-12 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,7,2024-03,0.0,0.04654731457800487,0.23243972254734813,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-13 10:00:00+00:00,2024-03-13 03:46:00+00:00,2024-03-13 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,8,2024-03,0.0,0.021392035074899285,0.2754993328130735,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-14 10:00:00+00:00,2024-03-14 03:46:00+00:00,2024-03-14 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,9,2024-03,0.0,0.03138472780416479,0.2603558243600303,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-15 10:00:00+00:00,2024-03-15 03:46:00+00:00,2024-03-15 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,10,2024-03,0.0,0.022634271099743808,0.25280173525315686,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-18 10:00:00+00:00,2024-03-18 03:46:00+00:00,2024-03-18 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,11,2024-03,0.0,0.049652904640116624,0.2660556914809565,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-19 10:00:00+00:00,2024-03-19 03:46:00+00:00,2024-03-19 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,12,2024-03,0.0,0.030325173547679718,0.27462232791431757,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-20 10:00:00+00:00,2024-03-20 03:46:00+00:00,2024-03-20 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,13,2024-03,0.0,0.04859335038363155,0.27120638600850355,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-21 10:00:00+00:00,2024-03-21 03:46:00+00:00,2024-03-21 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,14,2024-03,0.0,0.07123675557179365,0.2712928315854993,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-22 10:00:00+00:00,2024-03-22 03:46:00+00:00,2024-03-22 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,15,2024-03,0.0,0.08695652173913015,0.26437591600205096,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-26 10:00:00+00:00,2024-03-26 03:46:00+00:00,2024-03-26 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,16,2024-03,0.0,0.08494702228717554,0.257164109354258,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-27 10:00:00+00:00,2024-03-27 03:46:00+00:00,2024-03-27 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,17,2024-03,0.0,0.14724150529777114,0.31995162018020085,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-03-28 10:00:00+00:00,2024-03-28 03:46:00+00:00,2024-03-28 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,18,2024-03,0.0,0.16295213737668957,0.31105381908788193,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-04-01 10:00:00+00:00,2024-04-01 03:46:00+00:00,2024-04-01 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,19,2024-04,0.0,0.19656558275484093,0.3112011650404052,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2024-04-02 10:00:00+00:00,2024-04-02 03:46:00+00:00,2024-04-02 10:00:00+00:00,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0.0,20,2024-04,0.0,0.17552064303982462,0.317978602327485,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
