,sid,symbol,price,order_id,amount,commission,dt,txn_dollars
2024-03-05 10:00:00+00:00,Equity(18 [BANKNIFTY]),Equity(18 [BANKNIFTY]),3328.0025,150fa35ce0574516a5720d283174c8d9,150,,2024-03-05 10:00:00+00:00,-499200.375
2024-03-05 10:00:00+00:00,Equity(61 [HDFCBANK]),Equity(61 [HDFCBANK]),1439.2025,a1ec69474ba5415aa878da32d807ecab,348,,2024-03-05 10:00:00+00:00,-500842.47000000003
2024-03-12 10:00:00+00:00,Equity(18 [BANKNIFTY]),Equity(18 [BANKNIFTY]),3122.9025,3f86b1a9a2f5421e96e76802a3166bba,2,,2024-03-12 10:00:00+00:00,-6245.805
2024-03-12 10:00:00+00:00,Equity(61 [HDFCBANK]),Equity(61 [HDFCBANK]),1461.4975,f793167a50484833a98dcf640323a349,-5,,2024-03-12 10:00:00+00:00,7307.487499999999
2024-03-19 10:00:00+00:00,Equity(18 [BANKNIFTY]),Equity(18 [BANKNIFTY]),3055.0025,5b86729afdad473198f43b37afd042a4,3,,2024-03-19 10:00:00+00:00,-9165.0075
2024-03-19 10:00:00+00:00,Equity(61 [HDFCBANK]),Equity(61 [HDFCBANK]),1449.9475,1c82ddb1df9645f197946b2fbe3688e8,-7,,2024-03-19 10:00:00+00:00,10149.6325
2024-03-27 10:00:00+00:00,Equity(61 [HDFCBANK]),Equity(61 [HDFCBANK]),1443.9525,3c23131b3eea4f1f9e9ccfefceee9948,1,,2024-03-27 10:00:00+00:00,-1443.9525
2024-04-02 10:00:00+00:00,Equity(18 [BANKNIFTY]),Equity(18 [BANKNIFTY]),3260.0975,4bae9a796935418abcedf579a8007cf7,-1,,2024-04-02 10:00:00+00:00,3260.0975
2024-04-02 10:00:00+00:00,Equity(61 [HDFCBANK]),Equity(61 [HDFCBANK]),1479.5525,bd5e090365d84c7883b75818f4e4f6ad,3,,2024-04-02 10:00:00+00:00,-4438.6575
2024-04-09 10:00:00+00:00,Equity(18 [BANKNIFTY]),Equity(18 [BANKNIFTY]),3200.5525000000002,7dbe715a871e48f29168f5e2cb7ca513,4,,2024-04-09 10:00:00+00:00,-12802.210000000001
