,portfolio_value,returns
2018-01-01 10:00:00+00:00,100000.0,0.0
2018-01-02 10:00:00+00:00,100000.0,0.0
2018-01-03 10:00:00+00:00,100000.0,0.0
2018-01-04 10:00:00+00:00,100000.0,0.0
2018-01-05 10:00:00+00:00,100000.0,0.0
2018-01-08 10:00:00+00:00,100000.0,0.0
2018-01-09 10:00:00+00:00,100000.0,0.0
2018-01-10 10:00:00+00:00,100000.0,0.0
2018-01-11 10:00:00+00:00,100000.0,0.0
2018-01-12 10:00:00+00:00,100000.0,0.0
2018-01-15 10:00:00+00:00,100000.0,0.0
2018-01-16 10:00:00+00:00,100000.0,0.0
2018-01-17 10:00:00+00:00,100000.0,0.0
2018-01-18 10:00:00+00:00,100000.0,0.0
2018-01-19 10:00:00+00:00,100000.0,0.0
2018-01-22 10:00:00+00:00,100000.0,0.0
2018-01-23 10:00:00+00:00,100000.0,0.0
2018-01-24 10:00:00+00:00,100000.0,0.0
2018-01-25 10:00:00+00:00,100000.0,0.0
2018-01-29 10:00:00+00:00,100000.0,0.0
2018-01-30 10:00:00+00:00,100000.0,0.0
2018-01-31 10:00:00+00:00,100000.0,0.0
2018-02-01 10:00:00+00:00,100000.0,0.0
2018-02-02 10:00:00+00:00,100000.0,0.0
2018-02-05 10:00:00+00:00,100000.0,0.0
2018-02-06 10:00:00+00:00,100000.0,0.0
2018-02-07 10:00:00+00:00,100000.0,0.0
2018-02-08 10:00:00+00:00,100000.0,0.0
2018-02-09 10:00:00+00:00,100000.0,0.0
2018-02-12 10:00:00+00:00,100000.0,0.0
2018-02-14 10:00:00+00:00,100000.0,0.0
2018-02-15 10:00:00+00:00,100000.0,0.0
2018-02-16 10:00:00+00:00,100000.0,0.0
2018-02-19 10:00:00+00:00,100000.0,0.0
2018-02-20 10:00:00+00:00,100000.0,0.0
2018-02-21 10:00:00+00:00,100000.0,0.0
2018-02-22 10:00:00+00:00,100000.0,0.0
2018-02-23 10:00:00+00:00,100000.0,0.0
2018-02-26 10:00:00+00:00,100000.0,0.0
2018-02-27 10:00:00+00:00,100000.0,0.0
2018-02-28 10:00:00+00:00,100000.0,0.0
2018-03-01 10:00:00+00:00,100000.0,0.0
2018-03-05 10:00:00+00:00,100000.0,0.0
2018-03-06 10:00:00+00:00,100000.0,0.0
2018-03-07 10:00:00+00:00,100000.0,0.0
2018-03-08 10:00:00+00:00,100000.0,0.0
2018-03-09 10:00:00+00:00,100000.0,0.0
2018-03-12 10:00:00+00:00,100000.0,0.0
2018-03-13 10:00:00+00:00,100000.0,0.0
2018-03-14 10:00:00+00:00,100000.0,0.0
2018-03-15 10:00:00+00:00,100000.0,0.0
2018-03-16 10:00:00+00:00,100000.0,0.0
2018-03-19 10:00:00+00:00,100000.0,0.0
2018-03-20 10:00:00+00:00,100000.0,0.0
2018-03-21 10:00:00+00:00,100000.0,0.0
2018-03-22 10:00:00+00:00,100000.0,0.0
2018-03-23 10:00:00+00:00,100000.0,0.0
2018-03-26 10:00:00+00:00,100000.0,0.0
2018-03-27 10:00:00+00:00,100000.0,0.0
2018-03-28 10:00:00+00:00,100000.0,0.0
2018-04-02 10:00:00+00:00,100000.0,0.0
2018-04-03 10:00:00+00:00,100000.0,0.0
2018-04-04 10:00:00+00:00,100000.0,0.0
2018-04-05 10:00:00+00:00,100000.0,0.0
2018-04-06 10:00:00+00:00,100000.0,0.0
2018-04-09 10:00:00+00:00,100000.0,0.0
2018-04-10 10:00:00+00:00,100000.0,0.0
2018-04-11 10:00:00+00:00,100000.0,0.0
2018-04-12 10:00:00+00:00,100000.0,0.0
2018-04-13 10:00:00+00:00,100000.0,0.0
2018-04-16 10:00:00+00:00,100000.0,0.0
2018-04-17 10:00:00+00:00,100000.0,0.0
2018-04-18 10:00:00+00:00,100000.0,0.0
2018-04-19 10:00:00+00:00,100000.0,0.0
2018-04-20 10:00:00+00:00,100000.0,0.0
2018-04-23 10:00:00+00:00,100000.0,0.0
2018-04-24 10:00:00+00:00,100000.0,0.0
2018-04-25 10:00:00+00:00,100000.0,0.0
2018-04-26 10:00:00+00:00,100000.0,0.0
2018-04-27 10:00:00+00:00,100000.0,0.0
2018-04-30 10:00:00+00:00,100000.0,0.0
2018-05-02 10:00:00+00:00,100000.0,0.0
2018-05-03 10:00:00+00:00,100000.0,0.0
2018-05-04 10:00:00+00:00,100000.0,0.0
2018-05-07 10:00:00+00:00,100000.0,0.0
2018-05-08 10:00:00+00:00,100000.0,0.0
2018-05-09 10:00:00+00:00,100000.0,0.0
2018-05-10 10:00:00+00:00,100000.0,0.0
2018-05-11 10:00:00+00:00,100000.0,0.0
2018-05-14 10:00:00+00:00,100000.0,0.0
2018-05-15 10:00:00+00:00,100000.0,0.0
2018-05-16 10:00:00+00:00,100000.0,0.0
2018-05-17 10:00:00+00:00,100000.0,0.0
2018-05-18 10:00:00+00:00,100000.0,0.0
2018-05-21 10:00:00+00:00,100000.0,0.0
2018-05-22 10:00:00+00:00,100000.0,0.0
2018-05-23 10:00:00+00:00,99940.39996365794,-0.0005960003634205568
2018-05-24 10:00:00+00:00,100149.04996365793,0.002087744296359384
2018-05-25 10:00:00+00:00,100072.99996365793,-0.0007593681620303716
2018-05-28 10:00:00+00:00,100262.14996365794,0.0018901202129315564
2018-05-29 10:00:00+00:00,99948.19996365794,-0.003131291320940255
2018-05-30 10:00:00+00:00,100076.89996365794,0.0012876670119801314
2018-05-31 10:00:00+00:00,100195.84996365794,0.0011885859778149044
2018-06-01 10:00:00+00:00,100078.84996365794,-0.0011677130344462938
2018-06-04 10:00:00+00:00,99930.64996365794,-0.0014808323642189203
2018-06-05 10:00:00+00:00,99938.44996365794,7.80541305678284e-05
2018-06-06 10:00:00+00:00,100215.34996365794,0.0027707053701624407
2018-06-07 10:00:00+00:00,100178.29996365793,-0.0003697038429086863
2018-06-08 10:00:00+00:00,100312.84996365794,0.001343105243838627
