,order_str,order_id
0,"[{'id': '56fb0cd27f1e4a7f8512f977ab1f5f64', 'dt': Timestamp('2016-01-01 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-01 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'db3df97639f446448956aeb384feebc8', 'dt': Timestamp('2016-01-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-01 04:15:00+0000', tz='UTC'), 'amount': 11, 'filled': 11, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [HDFC]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '753c8851e5664871b2b67b59f6b9cc39', 'dt': Timestamp('2016-01-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-01 04:15:00+0000', tz='UTC'), 'amount': 177, 'filled': 177, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b1dd189e117e40db83f3676c237c0cc2', 'dt': Timestamp('2016-01-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-01 04:15:00+0000', tz='UTC'), 'amount': 66, 'filled': 66, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",0
1,"[{'id': '38f7625cea324479a6d42a19c0c04432', 'dt': Timestamp('2016-01-04 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-04 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3f286c1af3ea4ed294ff9d3cd8d2899a', 'dt': Timestamp('2016-01-04 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-04 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [HDFC]), 'status': <ORDER_STATUS.FILLED: 1>}]",1
2,"[{'id': '6032878c15f64180bda0a488696b0bef', 'dt': Timestamp('2016-01-05 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-05 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dd3984d17cb2460b8f18a052f299d5b1', 'dt': Timestamp('2016-01-05 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-05 04:15:00+0000', tz='UTC'), 'amount': 3, 'filled': 3, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a60a2c925c9e4945aceac3b3b4ff9cff', 'dt': Timestamp('2016-01-05 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-05 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",2
3,"[{'id': 'bee19b9188e64f2e8326af934e13853a', 'dt': Timestamp('2016-01-06 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-06 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}]",3
4,"[{'id': 'a293c2602eb74d39af39dd23ae3d115d', 'dt': Timestamp('2016-01-07 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-07 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '887416c4d3b047faaba4a0f5693907ea', 'dt': Timestamp('2016-01-07 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-07 04:15:00+0000', tz='UTC'), 'amount': 6, 'filled': 6, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8608dff6754c4fbd8736cb0d5c6db0ff', 'dt': Timestamp('2016-01-07 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-07 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",4
5,"[{'id': '90f6ea4d19ee4be199504b513fd781f4', 'dt': Timestamp('2016-01-08 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-08 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4ee6543014bc411094ad50b58151c25b', 'dt': Timestamp('2016-01-08 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-08 04:15:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}]",5
6,"[{'id': '515958823784456683194792026832ab', 'dt': Timestamp('2016-01-11 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-11 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '79b5088ec0c54828bbc31163048ef1eb', 'dt': Timestamp('2016-01-11 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-11 04:15:00+0000', tz='UTC'), 'amount': 3, 'filled': 3, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9b53aabf494345c4a2ee4a123106dc0c', 'dt': Timestamp('2016-01-11 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-11 04:15:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",6
7,"[{'id': 'c3b047ee277b40d196d4747ec7d001a3', 'dt': Timestamp('2016-01-12 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-12 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '26087ccaa9a349408fc694df8775adf9', 'dt': Timestamp('2016-01-12 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-12 04:15:00+0000', tz='UTC'), 'amount': -6, 'filled': -6, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}]",7
8,"[{'id': '49c39b201e224faf9e0e31b3714b54f7', 'dt': Timestamp('2016-01-13 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-13 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4ee6a93d09044409b0441871b66de6bf', 'dt': Timestamp('2016-01-13 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-13 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2306c59e6e8a47e0aae9604a521f0e2d', 'dt': Timestamp('2016-01-13 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-13 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",8
9,"[{'id': 'c1fa3380d7c643a1b80053af327d1980', 'dt': Timestamp('2016-01-14 04:15:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-14 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(5 [NIFTY50]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4dfb3bfa7ef14172a1a5786a7bbac119', 'dt': Timestamp('2016-01-14 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-14 04:15:00+0000', tz='UTC'), 'amount': 4, 'filled': 4, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [HINDALCO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ef4ecec891894633a324b42e20191586', 'dt': Timestamp('2016-01-14 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2016-01-14 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",9
