,transaction_str,txn_id
0,"[{'amount': 11, 'dt': Timestamp('2016-01-01 04:16:00+0000', tz='UTC'), 'price': 1263.5000511944493, 'order_id': 'db3df97639f446448956aeb384feebc8', 'sid': Equity(2 [HDFC]), 'commission': None}, {'amount': 177, 'dt': Timestamp('2016-01-01 04:16:00+0000', tz='UTC'), 'price': 84.65020276666414, 'order_id': '753c8851e5664871b2b67b59f6b9cc39', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 66, 'dt': Timestamp('2016-01-01 04:16:00+0000', tz='UTC'), 'price': 224.75000317543228, 'order_id': 'b1dd189e117e40db83f3676c237c0cc2', 'sid': Equity(7 [SBIN]), 'commission': None}]",0
1,"[{'amount': 1, 'dt': Timestamp('2016-01-04 04:16:00+0000', tz='UTC'), 'price': 1246.0000163924742, 'order_id': '3f286c1af3ea4ed294ff9d3cd8d2899a', 'sid': Equity(2 [HDFC]), 'commission': None}]",1
2,"[{'amount': 3, 'dt': Timestamp('2016-01-05 04:16:00+0000', tz='UTC'), 'price': 81.8000046899355, 'order_id': 'dd3984d17cb2460b8f18a052f299d5b1', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-01-05 04:16:00+0000', tz='UTC'), 'price': 218.50000000152613, 'order_id': 'a60a2c925c9e4945aceac3b3b4ff9cff', 'sid': Equity(7 [SBIN]), 'commission': None}]",2
3,[],3
4,"[{'amount': 6, 'dt': Timestamp('2016-01-07 04:16:00+0000', tz='UTC'), 'price': 77.90000133035194, 'order_id': '887416c4d3b047faaba4a0f5693907ea', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-01-07 04:16:00+0000', tz='UTC'), 'price': 212.45000001023683, 'order_id': '8608dff6754c4fbd8736cb0d5c6db0ff', 'sid': Equity(7 [SBIN]), 'commission': None}]",4
5,"[{'amount': 2, 'dt': Timestamp('2016-01-08 04:16:00+0000', tz='UTC'), 'price': 77.10000047144615, 'order_id': '4ee6543014bc411094ad50b58151c25b', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",5
6,"[{'amount': 3, 'dt': Timestamp('2016-01-11 04:16:00+0000', tz='UTC'), 'price': 74.70000024880848, 'order_id': '79b5088ec0c54828bbc31163048ef1eb', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 2, 'dt': Timestamp('2016-01-11 04:16:00+0000', tz='UTC'), 'price': 203.50000006832562, 'order_id': '9b53aabf494345c4a2ee4a123106dc0c', 'sid': Equity(7 [SBIN]), 'commission': None}]",6
7,"[{'amount': -6, 'dt': Timestamp('2016-01-12 04:16:00+0000', tz='UTC'), 'price': 78.19999569857643, 'order_id': '26087ccaa9a349408fc694df8775adf9', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",7
8,"[{'amount': 1, 'dt': Timestamp('2016-01-13 04:16:00+0000', tz='UTC'), 'price': 77.00000072319693, 'order_id': '4ee6a93d09044409b0441871b66de6bf', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-01-13 04:16:00+0000', tz='UTC'), 'price': 200.95000000549607, 'order_id': '2306c59e6e8a47e0aae9604a521f0e2d', 'sid': Equity(7 [SBIN]), 'commission': None}]",8
9,"[{'amount': 4, 'dt': Timestamp('2016-01-14 04:16:00+0000', tz='UTC'), 'price': 74.50000063508978, 'order_id': '4dfb3bfa7ef14172a1a5786a7bbac119', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-01-14 04:16:00+0000', tz='UTC'), 'price': 196.25000002068214, 'order_id': 'ef4ecec891894633a324b42e20191586', 'sid': Equity(7 [SBIN]), 'commission': None}]",9
10,[],10
11,"[{'amount': 8, 'dt': Timestamp('2016-01-18 04:16:00+0000', tz='UTC'), 'price': 70.45001620991437, 'order_id': '67e0cbca704340b0893a1757c9a675df', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 3, 'dt': Timestamp('2016-01-18 04:16:00+0000', tz='UTC'), 'price': 183.70000002005878, 'order_id': 'f1f1a17f6a3142a6a6c06232ab114858', 'sid': Equity(7 [SBIN]), 'commission': None}]",11
12,"[{'amount': -1, 'dt': Timestamp('2016-01-19 04:16:00+0000', tz='UTC'), 'price': 71.34999979257651, 'order_id': 'e451bdd2b711446188e61b36dfbecfce', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-01-19 04:16:00+0000', tz='UTC'), 'price': 183.95000003067562, 'order_id': 'da5498d3cff04709b9e4b6921ebeac22', 'sid': Equity(7 [SBIN]), 'commission': None}]",12
13,"[{'amount': 1, 'dt': Timestamp('2016-01-20 04:16:00+0000', tz='UTC'), 'price': 69.55000001024035, 'order_id': 'fecc3db49ee84007a392a729ca8721bb', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 2, 'dt': Timestamp('2016-01-20 04:16:00+0000', tz='UTC'), 'price': 176.20000000060045, 'order_id': '405771e4496a48aebd5590262c02b4a6', 'sid': Equity(7 [SBIN]), 'commission': None}]",13
14,"[{'amount': 3, 'dt': Timestamp('2016-01-21 04:16:00+0000', tz='UTC'), 'price': 68.50000047907184, 'order_id': 'ae220dba96424961a503456a80663915', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",14
15,"[{'amount': -1, 'dt': Timestamp('2016-01-22 04:16:00+0000', tz='UTC'), 'price': 69.69999992289999, 'order_id': 'adad4ce95b2d4391baa77d9fdc01ff78', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",15
16,"[{'amount': -6, 'dt': Timestamp('2016-01-25 04:16:00+0000', tz='UTC'), 'price': 73.14999732341494, 'order_id': '6e825d4fc2914c749d8ba065471fdf97', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -2, 'dt': Timestamp('2016-01-25 04:16:00+0000', tz='UTC'), 'price': 187.9999999235978, 'order_id': 'a5f8bbe6415847b5ad9babb1e2e56082', 'sid': Equity(7 [SBIN]), 'commission': None}]",16
17,"[{'amount': 1, 'dt': Timestamp('2016-01-27 04:16:00+0000', tz='UTC'), 'price': 71.65000010504158, 'order_id': '11a04c8400b4425cabf6a8a4b539d4c6', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-01-27 04:16:00+0000', tz='UTC'), 'price': 182.40000000545254, 'order_id': '10e0e203d5f4409bb1e1c517d193381f', 'sid': Equity(7 [SBIN]), 'commission': None}]",17
18,"[{'amount': 2, 'dt': Timestamp('2016-01-28 04:16:00+0000', tz='UTC'), 'price': 71.00000000671776, 'order_id': 'b760ed231f6f4c89a98fa963dc1769e2', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",18
19,"[{'amount': 1, 'dt': Timestamp('2016-01-29 04:16:00+0000', tz='UTC'), 'price': 70.15000001854146, 'order_id': '78926c430c7d402997d882734313fd44', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",19
