,transaction_str,txn_id
0,[],0
1,[],1
2,[],2
3,[],3
4,[],4
5,[],5
6,[],6
7,[],7
8,"[{'amount': 49, 'dt': Timestamp('2018-01-11 04:16:00+0000', tz='UTC'), 'price': 301.15001636578114, 'order_id': '28a02e412d214c60b24acd6fa9f3af82', 'sid': Equity(7 [SBIN]), 'commission': None}]",8
9,[],9
10,[],10
11,[],11
12,[],12
13,[],13
14,[],14
15,[],15
16,[],16
17,[],17
18,[],18
19,[],19
20,[],20
21,[],21
22,[],22
23,[],23
24,[],24
25,[],25
26,[],26
27,[],27
28,[],28
29,[],29
30,[],30
31,"[{'amount': 4, 'dt': Timestamp('2018-02-15 04:16:00+0000', tz='UTC'), 'price': 279.7500001808003, 'order_id': '0eedbf1e1f544c8abb8c3881c80a714d', 'sid': Equity(7 [SBIN]), 'commission': None}]",31
32,[],32
33,"[{'amount': 1, 'dt': Timestamp('2018-02-19 04:16:00+0000', tz='UTC'), 'price': 268.7500000002083, 'order_id': '226ef1454cd2445d96acefaa7d021cfe', 'sid': Equity(7 [SBIN]), 'commission': None}]",33
34,[],34
35,[],35
36,[],36
37,[],37
38,[],38
39,[],39
40,[],40
41,[],41
42,"[{'amount': 2, 'dt': Timestamp('2018-03-05 04:16:00+0000', tz='UTC'), 'price': 260.10000003445475, 'order_id': '9265e17b503b4f7389f04749934a355e', 'sid': Equity(7 [SBIN]), 'commission': None}]",42
43,[],43
44,"[{'amount': 1, 'dt': Timestamp('2018-03-07 04:16:00+0000', tz='UTC'), 'price': 252.80000000927478, 'order_id': '450652071d13429f89318efb4a56a592', 'sid': Equity(7 [SBIN]), 'commission': None}]",44
45,"[{'amount': 14, 'dt': Timestamp('2018-03-08 04:16:00+0000', tz='UTC'), 'price': 245.600000928245, 'order_id': '50756c1b6c414fbdad447d4fed674088', 'sid': Equity(7 [SBIN]), 'commission': None}]",45
46,[],46
47,[],47
48,[],48
49,"[{'amount': -12, 'dt': Timestamp('2018-03-14 04:16:00+0000', tz='UTC'), 'price': 251.44999798987786, 'order_id': 'c698f08697d045a2954111f33721eaf3', 'sid': Equity(7 [SBIN]), 'commission': None}]",49
50,[],50
51,"[{'amount': -1, 'dt': Timestamp('2018-03-16 04:16:00+0000', tz='UTC'), 'price': 254.0499999990424, 'order_id': 'aa76f4ca38cd494aad4f11697ff50c49', 'sid': Equity(7 [SBIN]), 'commission': None}]",51
52,[],52
53,[],53
54,[],54
55,[],55
56,"[{'amount': 3, 'dt': Timestamp('2018-03-23 04:16:00+0000', tz='UTC'), 'price': 235.40000008082134, 'order_id': '6d555ea824f14d888c8a8f0a88ed38c6', 'sid': Equity(7 [SBIN]), 'commission': None}]",56
57,[],57
58,[],58
59,[],59
60,[],60
61,[],61
62,[],62
63,[],63
64,[],64
65,[],65
66,[],66
67,[],67
68,[],68
69,[],69
70,[],70
71,[],71
72,[],72
73,[],73
74,[],74
75,[],75
76,[],76
77,"[{'amount': 11, 'dt': Timestamp('2018-04-25 04:16:00+0000', tz='UTC'), 'price': 239.1500026130115, 'order_id': '0f081f19247342d494013229137ea8d8', 'sid': Equity(7 [SBIN]), 'commission': None}]",77
78,"[{'amount': 1, 'dt': Timestamp('2018-04-26 04:16:00+0000', tz='UTC'), 'price': 237.45000001262858, 'order_id': '69045d3391d140098876f19de859b10f', 'sid': Equity(7 [SBIN]), 'commission': None}]",78
79,"[{'amount': -12, 'dt': Timestamp('2018-04-27 04:16:00+0000', tz='UTC'), 'price': 237.54999930139496, 'order_id': '11b9500ccf914475932bf21e56ad5def', 'sid': Equity(7 [SBIN]), 'commission': None}]",79
80,[],80
81,[],81
82,[],82
83,[],83
84,[],84
85,[],85
86,[],86
87,[],87
88,[],88
89,[],89
90,[],90
91,[],91
92,[],92
93,[],93
94,[],94
95,[],95
96,"[{'amount': -116, 'dt': Timestamp('2018-05-23 04:16:00+0000', tz='UTC'), 'price': 264.8499917561178, 'order_id': '5f96d5fb73f745728232aa0aa9bc1351', 'sid': Equity(7 [SBIN]), 'commission': None}]",96
97,[],97
98,[],98
99,[],99
100,[],100
101,[],101
102,[],102
103,[],103
104,[],104
105,[],105
106,[],106
107,[],107
108,[],108
109,[],109
110,[],110
111,[],111
112,[],112
113,[],113
114,[],114
115,[],115
116,[],116
117,[],117
118,[],118
119,[],119
120,[],120
121,[],121
122,[],122
123,[],123
124,"[{'amount': 111, 'dt': Timestamp('2018-07-02 04:16:00+0000', tz='UTC'), 'price': 260.80013659482626, 'order_id': '5e753481315e47f294452dab2b9dea1c', 'sid': Equity(7 [SBIN]), 'commission': None}]",124
125,"[{'amount': 12, 'dt': Timestamp('2018-07-03 04:16:00+0000', tz='UTC'), 'price': 259.90003542840043, 'order_id': '61f1c0157c4b401289e256803687403a', 'sid': Equity(7 [SBIN]), 'commission': None}]",125
126,[],126
127,"[{'amount': -10, 'dt': Timestamp('2018-07-05 04:16:00+0000', tz='UTC'), 'price': 258.3499982323354, 'order_id': 'bd2bf331a1d74ca9bcc66c33f254577a', 'sid': Equity(7 [SBIN]), 'commission': None}]",127
128,[],128
129,[],129
130,[],130
131,[],131
132,[],132
133,[],133
134,[],134
135,[],135
136,[],136
137,[],137
138,[],138
139,[],139
140,[],140
141,[],141
142,[],142
143,[],143
144,"[{'amount': -109, 'dt': Timestamp('2018-07-30 04:16:00+0000', tz='UTC'), 'price': 294.69999438691946, 'order_id': 'cf6f00c52d514e7d9fb77fb26a579551', 'sid': Equity(7 [SBIN]), 'commission': None}]",144
145,[],145
146,[],146
147,[],147
148,"[{'amount': -10, 'dt': Timestamp('2018-08-03 04:16:00+0000', tz='UTC'), 'price': 295.4999927097823, 'order_id': '3e911b0749da48748e00959523ded606', 'sid': Equity(7 [SBIN]), 'commission': None}]",148
149,"[{'amount': 2, 'dt': Timestamp('2018-08-06 04:16:00+0000', tz='UTC'), 'price': 305.9500000076374, 'order_id': 'd457cc8ad9034379b6a02e67409d8a61', 'sid': Equity(7 [SBIN]), 'commission': None}]",149
150,[],150
151,[],151
152,"[{'amount': 1, 'dt': Timestamp('2018-08-09 04:16:00+0000', tz='UTC'), 'price': 313.0500000014914, 'order_id': '1504c93dee614990a0017a134804e2ba', 'sid': Equity(7 [SBIN]), 'commission': None}]",152
153,"[{'amount': 10, 'dt': Timestamp('2018-08-10 04:16:00+0000', tz='UTC'), 'price': 311.50000097108574, 'order_id': '560f1a166aa94c7ebed93ba5787a555b', 'sid': Equity(7 [SBIN]), 'commission': None}]",153
154,[],154
155,[],155
156,[],156
157,[],157
158,[],158
159,[],159
160,[],160
161,[],161
162,[],162
163,[],163
164,[],164
165,[],165
166,[],166
167,[],167
168,[],168
169,[],169
170,[],170
171,[],171
172,[],172
173,[],173
174,[],174
175,[],175
176,"[{'amount': 100, 'dt': Timestamp('2018-09-17 04:16:00+0000', tz='UTC'), 'price': 285.45003685158196, 'order_id': 'd2038c60d3fb4c0daf88182beec5da3f', 'sid': Equity(7 [SBIN]), 'commission': None}]",176
177,"[{'amount': 1, 'dt': Timestamp('2018-09-18 04:16:00+0000', tz='UTC'), 'price': 281.90000000240036, 'order_id': 'd9bd996ddc444a66881d30307c7a7e85', 'sid': Equity(7 [SBIN]), 'commission': None}]",177
178,"[{'amount': 13, 'dt': Timestamp('2018-09-19 04:16:00+0000', tz='UTC'), 'price': 272.6000003179362, 'order_id': '8b216ffc31b04b1a9f2b24b935078816', 'sid': Equity(7 [SBIN]), 'commission': None}]",178
179,"[{'amount': -11, 'dt': Timestamp('2018-09-21 04:16:00+0000', tz='UTC'), 'price': 275.6999989951744, 'order_id': '20496be7789c48ca9f9385a2d8ffadcf', 'sid': Equity(7 [SBIN]), 'commission': None}]",179
180,"[{'amount': 11, 'dt': Timestamp('2018-09-24 04:16:00+0000', tz='UTC'), 'price': 270.10000294215394, 'order_id': '1e89e7ae5ca54d97b73b412e8f775a8e', 'sid': Equity(7 [SBIN]), 'commission': None}]",180
181,"[{'amount': 2, 'dt': Timestamp('2018-09-25 04:16:00+0000', tz='UTC'), 'price': 262.1000000259489, 'order_id': '3af7940ce14543f8b2d6b2c31597b423', 'sid': Equity(7 [SBIN]), 'commission': None}]",181
182,"[{'amount': -12, 'dt': Timestamp('2018-09-26 04:16:00+0000', tz='UTC'), 'price': 269.749999800436, 'order_id': 'ba47ff407db24eeea82286850b0c2d32', 'sid': Equity(7 [SBIN]), 'commission': None}]",182
183,[],183
184,[],184
185,[],185
186,[],186
187,[],187
188,[],188
189,[],189
190,[],190
191,[],191
192,[],192
193,[],193
194,[],194
195,[],195
196,[],196
