,order_str,order_id
0,[],0
1,[],1
2,[],2
3,[],3
4,[],4
5,[],5
6,[],6
7,[],7
8,[],8
9,"[{'id': 'd6ef26357bcf4c17854dbb95f9d604a3', 'dt': Timestamp('2018-01-12 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-12 04:15:00+0000', tz='UTC'), 'amount': 36, 'filled': 36, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",9
10,[],10
11,[],11
12,[],12
13,[],13
14,[],14
15,"[{'id': '354e4a01edde40218fe50377e2697839', 'dt': Timestamp('2018-01-22 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-22 04:15:00+0000', tz='UTC'), 'amount': -16, 'filled': -16, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",15
16,[],16
17,[],17
18,[],18
19,[],19
20,[],20
21,"[{'id': '634d75aa34fd4fae9c889e24c058199b', 'dt': Timestamp('2018-01-31 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-31 04:15:00+0000', tz='UTC'), 'amount': 16, 'filled': 16, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",21
22,"[{'id': '8ed9f4935341499d85576f3cdcca16e0', 'dt': Timestamp('2018-02-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-01 04:15:00+0000', tz='UTC'), 'amount': -15, 'filled': -15, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",22
23,"[{'id': 'fcd019546a944cd8afdcd0e6032d0445', 'dt': Timestamp('2018-02-02 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-02 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",23
24,[],24
25,[],25
26,[],26
27,[],27
28,[],28
29,[],29
30,[],30
31,"[{'id': 'a6f1bd9401b4459a827774cf103f457e', 'dt': Timestamp('2018-02-15 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-15 04:15:00+0000', tz='UTC'), 'amount': 4, 'filled': 4, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",31
32,[],32
33,"[{'id': '912dea24e3a2421f9fc44853b865bf9b', 'dt': Timestamp('2018-02-19 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-19 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd49884be781840919f066c88d8f99a44', 'dt': Timestamp('2018-02-19 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-19 04:15:00+0000', tz='UTC'), 'amount': 33, 'filled': 33, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",33
34,[],34
35,[],35
36,[],36
37,[],37
38,"[{'id': '69b310b1470b41c199390f7bd5612f23', 'dt': Timestamp('2018-02-26 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-26 04:15:00+0000', tz='UTC'), 'amount': -17, 'filled': -17, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [HDFCBANK]), 'status': <ORDER_STATUS.FILLED: 1>}]",38
39,[],39
40,[],40
41,"[{'id': 'df5bc8eac2a5445c92e22919b6b38981', 'dt': Timestamp('2018-03-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-01 04:15:00+0000', tz='UTC'), 'amount': 18, 'filled': 18, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",41
42,"[{'id': 'e1ba47dcb2414ad3ba55a81df7176550', 'dt': Timestamp('2018-03-05 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-05 04:15:00+0000', tz='UTC'), 'amount': -59, 'filled': -59, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '69326114138e4aa6b27ef1a2aaac55cc', 'dt': Timestamp('2018-03-05 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-05 04:15:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",42
43,"[{'id': 'c74a89a09f6747a2b8c4816b3835dfd1', 'dt': Timestamp('2018-03-06 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-06 04:15:00+0000', tz='UTC'), 'amount': 58, 'filled': 58, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",43
44,"[{'id': '1eff432746924584ab33e03c5de62876', 'dt': Timestamp('2018-03-07 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-07 04:15:00+0000', tz='UTC'), 'amount': -60, 'filled': -60, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",44
45,"[{'id': '39634868e3294f75bd9cf17c569321b7', 'dt': Timestamp('2018-03-08 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-08 04:15:00+0000', tz='UTC'), 'amount': 64, 'filled': 64, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",45
46,[],46
47,[],47
48,[],48
49,"[{'id': 'db87fcb214ff4713a47b2dfc6fbd2e4e', 'dt': Timestamp('2018-03-14 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-14 04:15:00+0000', tz='UTC'), 'amount': -19, 'filled': -19, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",49
50,[],50
51,[],51
52,[],52
53,[],53
54,[],54
55,[],55
56,[],56
57,[],57
58,[],58
59,[],59
60,[],60
61,[],61
62,[],62
63,[],63
64,[],64
65,"[{'id': '14f91d1a28fb45b4b45251ac2e01825b', 'dt': Timestamp('2018-04-09 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-09 04:15:00+0000', tz='UTC'), 'amount': -8, 'filled': -8, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [BAJFINANCE]), 'status': <ORDER_STATUS.FILLED: 1>}]",65
66,[],66
67,[],67
68,[],68
69,[],69
70,[],70
71,[],71
72,[],72
73,[],73
74,"[{'id': '3e239a146f0a42e3ba47aefc2ae008c6', 'dt': Timestamp('2018-04-20 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-20 04:15:00+0000', tz='UTC'), 'amount': 8, 'filled': 8, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [BAJFINANCE]), 'status': <ORDER_STATUS.FILLED: 1>}]",74
75,[],75
76,[],76
