,transaction_str,txn_id
0,[],0
1,[],1
2,[],2
3,[],3
4,[],4
5,[],5
6,[],6
7,[],7
8,[],8
9,"[{'amount': 36, 'dt': Timestamp('2018-01-12 04:16:00+0000', tz='UTC'), 'price': 303.40015606393234, 'order_id': 'd6ef26357bcf4c17854dbb95f9d604a3', 'sid': Equity(7 [SBIN]), 'commission': None}]",9
10,[],10
11,[],11
12,[],12
13,[],13
14,[],14
15,"[{'amount': -16, 'dt': Timestamp('2018-01-22 04:16:00+0000', tz='UTC'), 'price': 987.4498580557113, 'order_id': '354e4a01edde40218fe50377e2697839', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",15
16,[],16
17,[],17
18,[],18
19,[],19
20,[],20
21,"[{'amount': 16, 'dt': Timestamp('2018-01-31 04:16:00+0000', tz='UTC'), 'price': 1000.6020673553719, 'order_id': '634d75aa34fd4fae9c889e24c058199b', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",21
22,"[{'amount': -15, 'dt': Timestamp('2018-02-01 04:16:00+0000', tz='UTC'), 'price': 1001.7324106813982, 'order_id': '8ed9f4935341499d85576f3cdcca16e0', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",22
23,"[{'amount': -1, 'dt': Timestamp('2018-02-02 04:16:00+0000', tz='UTC'), 'price': 984.84999861152, 'order_id': 'fcd019546a944cd8afdcd0e6032d0445', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",23
24,[],24
25,[],25
26,[],26
27,[],27
28,[],28
29,[],29
30,[],30
31,"[{'amount': 4, 'dt': Timestamp('2018-02-15 04:16:00+0000', tz='UTC'), 'price': 279.7500001808003, 'order_id': 'a6f1bd9401b4459a827774cf103f457e', 'sid': Equity(7 [SBIN]), 'commission': None}]",31
32,[],32
33,"[{'amount': 1, 'dt': Timestamp('2018-02-19 04:16:00+0000', tz='UTC'), 'price': 268.7500000002083, 'order_id': '912dea24e3a2421f9fc44853b865bf9b', 'sid': Equity(7 [SBIN]), 'commission': None}, {'amount': 33, 'dt': Timestamp('2018-02-19 04:16:00+0000', tz='UTC'), 'price': 937.1970865312925, 'order_id': 'd49884be781840919f066c88d8f99a44', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",33
34,[],34
35,[],35
36,[],36
37,[],37
38,"[{'amount': -17, 'dt': Timestamp('2018-02-26 04:16:00+0000', tz='UTC'), 'price': 947.7491231538153, 'order_id': '69b310b1470b41c199390f7bd5612f23', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",38
39,[],39
40,[],40
41,"[{'amount': 18, 'dt': Timestamp('2018-03-01 04:16:00+0000', tz='UTC'), 'price': 268.6000064669224, 'order_id': 'df5bc8eac2a5445c92e22919b6b38981', 'sid': Equity(7 [SBIN]), 'commission': None}]",41
42,"[{'amount': -59, 'dt': Timestamp('2018-03-05 04:16:00+0000', tz='UTC'), 'price': 260.09997001575107, 'order_id': 'e1ba47dcb2414ad3ba55a81df7176550', 'sid': Equity(7 [SBIN]), 'commission': None}, {'amount': 2, 'dt': Timestamp('2018-03-05 04:16:00+0000', tz='UTC'), 'price': 260.1000320515342, 'order_id': '69326114138e4aa6b27ef1a2aaac55cc', 'sid': Equity(7 [SBIN]), 'commission': None}]",42
43,"[{'amount': 58, 'dt': Timestamp('2018-03-06 04:16:00+0000', tz='UTC'), 'price': 264.7000101506148, 'order_id': 'c74a89a09f6747a2b8c4816b3835dfd1', 'sid': Equity(7 [SBIN]), 'commission': None}]",43
44,"[{'amount': -60, 'dt': Timestamp('2018-03-07 04:16:00+0000', tz='UTC'), 'price': 252.79996661084277, 'order_id': '1eff432746924584ab33e03c5de62876', 'sid': Equity(7 [SBIN]), 'commission': None}]",44
45,"[{'amount': 64, 'dt': Timestamp('2018-03-08 04:16:00+0000', tz='UTC'), 'price': 245.60001939842647, 'order_id': '39634868e3294f75bd9cf17c569321b7', 'sid': Equity(7 [SBIN]), 'commission': None}]",45
46,[],46
47,[],47
48,[],48
49,"[{'amount': -19, 'dt': Timestamp('2018-03-14 04:16:00+0000', tz='UTC'), 'price': 251.44999496073544, 'order_id': 'db87fcb214ff4713a47b2dfc6fbd2e4e', 'sid': Equity(7 [SBIN]), 'commission': None}]",49
50,[],50
51,[],51
52,[],52
53,[],53
54,[],54
55,[],55
56,[],56
57,[],57
58,[],58
59,[],59
60,[],60
61,[],61
62,[],62
63,[],63
64,[],64
65,"[{'amount': -8, 'dt': Timestamp('2018-04-09 04:16:00+0000', tz='UTC'), 'price': 1960.8484774976857, 'order_id': '14f91d1a28fb45b4b45251ac2e01825b', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",65
66,[],66
67,[],67
68,[],68
69,[],69
70,[],70
71,[],71
72,[],72
73,[],73
74,"[{'amount': 8, 'dt': Timestamp('2018-04-20 04:16:00+0000', tz='UTC'), 'price': 1877.0174376542313, 'order_id': '3e239a146f0a42e3ba47aefc2ae008c6', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",74
75,[],75
76,[],76
77,"[{'amount': 21, 'dt': Timestamp('2018-04-25 04:16:00+0000', tz='UTC'), 'price': 239.15000952345514, 'order_id': '77d8511f77fc45b6840e95fb2498e6c4', 'sid': Equity(7 [SBIN]), 'commission': None}]",77
78,[],78
79,[],79
80,[],80
81,[],81
82,[],82
83,[],83
84,[],84
85,[],85
86,[],86
87,[],87
88,[],88
89,"[{'amount': -4, 'dt': Timestamp('2018-05-14 04:16:00+0000', tz='UTC'), 'price': 1012.2499220080622, 'order_id': 'b08078f856414546a65cb5cd993ffcdd', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",89
90,"[{'amount': -11, 'dt': Timestamp('2018-05-15 04:16:00+0000', tz='UTC'), 'price': 1024.7497448396837, 'order_id': '56b82d75fa694a4e815dab3031e27326', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",90
91,[],91
92,[],92
93,"[{'amount': -2, 'dt': Timestamp('2018-05-18 04:16:00+0000', tz='UTC'), 'price': 2090.2999994721863, 'order_id': '951f892f84b14e26b6329f9daa55d4e5', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",93
94,"[{'amount': -3, 'dt': Timestamp('2018-05-21 04:16:00+0000', tz='UTC'), 'price': 2139.0499710308936, 'order_id': '3a3326b5bf5741b59af134009c2cc3ab', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",94
95,"[{'amount': -2, 'dt': Timestamp('2018-05-22 04:16:00+0000', tz='UTC'), 'price': 2133.0998951008028, 'order_id': '04ce14c1e3e44ea1922aa362cfb7dc16', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",95
96,[],96
97,[],97
98,"[{'amount': 1, 'dt': Timestamp('2018-05-25 04:16:00+0000', tz='UTC'), 'price': 2115.0000140853276, 'order_id': '32f8e6d45a304932a57c5d6f59551533', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",98
99,[],99
100,[],100
101,[],101
102,"[{'amount': -1, 'dt': Timestamp('2018-05-31 04:16:00+0000', tz='UTC'), 'price': 2118.999917843889, 'order_id': 'a108e26ab31a4fc5b6a1829efb47f5e3', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",102
103,"[{'amount': 1, 'dt': Timestamp('2018-06-01 04:16:00+0000', tz='UTC'), 'price': 2104.800108314173, 'order_id': '28f411b7404645d6bfd2204caf24f364', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",103
104,"[{'amount': 6, 'dt': Timestamp('2018-06-04 04:16:00+0000', tz='UTC'), 'price': 2062.150313143358, 'order_id': '282af232b4f143a99cba7e0bb33465e1', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",104
105,[],105
106,[],106
107,"[{'amount': -125, 'dt': Timestamp('2018-06-07 04:16:00+0000', tz='UTC'), 'price': 269.4999332126773, 'order_id': 'fb5159d8a3e4449a8e98444a4f609826', 'sid': Equity(7 [SBIN]), 'commission': None}]",107
108,[],108
109,[],109
110,[],110
111,[],111
112,[],112
113,"[{'amount': -4, 'dt': Timestamp('2018-06-15 04:16:00+0000', tz='UTC'), 'price': 2272.1498788971453, 'order_id': '50a2f9862044483796ce05f6b2e7f53f', 'sid': Equity(0 [BAJFINANCE]), 'commission': None}]",113
114,[],114
115,[],115
116,"[{'amount': 30, 'dt': Timestamp('2018-06-20 04:16:00+0000', tz='UTC'), 'price': 1017.1054455086258, 'order_id': '80469f6f18ee4c66a90e09e9c3bb716b', 'sid': Equity(3 [HDFCBANK]), 'commission': None}]",116
