,order_str,order_id
0,"[{'id': 'f64ab95eee804339a54c10e1aa89f414', 'dt': Timestamp('2018-01-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-01 04:15:00+0000', tz='UTC'), 'amount': -32, 'filled': -32, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",0
1,[],1
2,[],2
3,[],3
4,[],4
5,[],5
6,[],6
7,[],7
8,"[{'id': 'b2d02fe9511c42b3af2c75d078ea1b89', 'dt': Timestamp('2018-01-11 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-11 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",8
9,[],9
10,[],10
11,[],11
12,[],12
13,"[{'id': 'c41096680677423aacf8f0c8e65e00fe', 'dt': Timestamp('2018-01-18 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-18 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",13
14,[],14
15,[],15
16,[],16
17,[],17
18,"[{'id': '8c3c889ef03e4f9a958f0109df46c05f', 'dt': Timestamp('2018-01-25 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-25 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",18
19,[],19
20,[],20
21,[],21
22,[],22
23,"[{'id': 'dc68f8d02d89414395775f0650525b12', 'dt': Timestamp('2018-02-02 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-02 04:15:00+0000', tz='UTC'), 'amount': -2, 'filled': -2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",23
24,"[{'id': '8131d0a4e13e416f872449dd37bc43c2', 'dt': Timestamp('2018-02-05 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-05 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",24
25,"[{'id': '73a9ad107bb44d02a114825c66183425', 'dt': Timestamp('2018-02-06 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-06 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",25
26,[],26
27,[],27
28,"[{'id': '059ef5bd64d14ab2981a4fc312b243b5', 'dt': Timestamp('2018-02-09 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-09 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",28
29,[],29
30,"[{'id': 'a614f9195b1643b081b2b2d58d13d90a', 'dt': Timestamp('2018-02-14 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-14 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",30
31,"[{'id': '76740f598f3c45eda33692f2c5794b48', 'dt': Timestamp('2018-02-15 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-15 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",31
32,[],32
33,"[{'id': '584281e3e654470c9417134499d740ab', 'dt': Timestamp('2018-02-19 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-19 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",33
34,[],34
35,[],35
36,[],36
37,[],37
38,[],38
39,[],39
40,"[{'id': '72f960a9dfc64532b765816c4a5e438a', 'dt': Timestamp('2018-02-28 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-28 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",40
41,[],41
42,"[{'id': 'cbc5481d49814454ad47a40d1c7f1a64', 'dt': Timestamp('2018-03-05 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-05 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",42
43,[],43
44,"[{'id': '63e1ba7d6c9f49b48531e8afb7a9bcb4', 'dt': Timestamp('2018-03-07 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-07 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",44
45,"[{'id': 'c0fa3eba4fa7498b91688050f5da83ce', 'dt': Timestamp('2018-03-08 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-08 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",45
46,[],46
47,[],47
48,"[{'id': '7f85e45ebb68462989cef4c48cf84435', 'dt': Timestamp('2018-03-13 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-13 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",48
49,[],49
50,[],50
51,[],51
52,[],52
53,"[{'id': '031ff54c86e54346bd316f0ef126e206', 'dt': Timestamp('2018-03-20 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-20 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",53
54,[],54
55,[],55
56,"[{'id': 'a221d170ec044c868c846b6ce07bd7fd', 'dt': Timestamp('2018-03-23 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-23 04:15:00+0000', tz='UTC'), 'amount': -2, 'filled': -2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",56
57,[],57
58,"[{'id': 'fa3e0248714548908de95483eff08b5b', 'dt': Timestamp('2018-03-27 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-03-27 04:15:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",58
59,[],59
60,[],60
61,[],61
62,[],62
63,[],63
64,"[{'id': '34ac413c336646edb9918bc5c083beb3', 'dt': Timestamp('2018-04-06 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-06 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",64
65,"[{'id': 'f43ca3cdfdf349b5b8bfce26d821cb99', 'dt': Timestamp('2018-04-09 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-09 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",65
66,[],66
67,[],67
68,[],68
69,[],69
70,"[{'id': 'dcde85630e1b416eba0086c390159763', 'dt': Timestamp('2018-04-16 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-16 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",70
71,[],71
72,"[{'id': '0446870ae5994a6abc2d2deb0eb63254', 'dt': Timestamp('2018-04-18 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-18 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",72
73,[],73
74,"[{'id': '7cd3b81079dd40bd8628b0797f34a951', 'dt': Timestamp('2018-04-20 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-20 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",74
75,[],75
76,[],76
77,[],77
78,"[{'id': '058e947ba00c4338a1737f0bae31bd0c', 'dt': Timestamp('2018-04-26 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-26 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",78
79,[],79
80,"[{'id': '8e3a621de2814c718bcf954ce17ba411', 'dt': Timestamp('2018-04-30 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-04-30 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",80
81,[],81
82,[],82
83,[],83
84,[],84
85,[],85
86,[],86
87,"[{'id': '7b59edccc0bf489bba3068ffd4d5d1b1', 'dt': Timestamp('2018-05-10 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-05-10 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",87
88,[],88
89,[],89
90,"[{'id': '750f183ec14a49a397dc1b40845571eb', 'dt': Timestamp('2018-05-15 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-05-15 04:15:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",90
91,"[{'id': '5635d21a31eb4fcd904cab4b53a28b52', 'dt': Timestamp('2018-05-16 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-05-16 04:15:00+0000', tz='UTC'), 'amount': -2, 'filled': -2, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",91
92,[],92
93,[],93
94,[],94
95,[],95
96,"[{'id': 'caa3aa1dc09a42838b0b1f2234261685', 'dt': Timestamp('2018-05-23 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-05-23 04:15:00+0000', tz='UTC'), 'amount': 3, 'filled': 3, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",96
97,[],97
98,[],98
99,"[{'id': '3cc6153c98d44a659df1dc4457d12dfe', 'dt': Timestamp('2018-05-28 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-05-28 04:15:00+0000', tz='UTC'), 'amount': 76, 'filled': 76, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",99
100,[],100
