,transaction_str,txn_id
0,"[{'amount': -32, 'dt': Timestamp('2018-01-01 04:16:00+0000', tz='UTC'), 'price': 311.34999118354096, 'order_id': 'a7412b8f6d83443a99c1cfe871d7bdee', 'sid': Equity(7 [SBIN]), 'commission': None}]",0
1,[],1
2,[],2
3,[],3
4,[],4
5,[],5
6,[],6
7,[],7
8,"[{'amount': -1, 'dt': Timestamp('2018-01-11 04:16:00+0000', tz='UTC'), 'price': 301.1499999931838, 'order_id': '2f9dd1fca08a453f9303eea7aa42632c', 'sid': Equity(7 [SBIN]), 'commission': None}]",8
9,[],9
10,[],10
11,[],11
12,[],12
13,"[{'amount': 1, 'dt': Timestamp('2018-01-18 04:16:00+0000', tz='UTC'), 'price': 312.7000000063911, 'order_id': '5e58e6b307fe410aadfcc07703710754', 'sid': Equity(7 [SBIN]), 'commission': None}]",13
14,[],14
15,[],15
16,[],16
17,[],17
18,"[{'amount': 1, 'dt': Timestamp('2018-01-25 04:16:00+0000', tz='UTC'), 'price': 321.7500000016931, 'order_id': '29c21bcd78fd4e48ae6569fd7c74a20e', 'sid': Equity(7 [SBIN]), 'commission': None}]",18
19,[],19
20,[],20
21,[],21
22,[],22
23,"[{'amount': -2, 'dt': Timestamp('2018-02-02 04:16:00+0000', tz='UTC'), 'price': 302.64999999066015, 'order_id': '5c086b62af27459c93a76f8599d38d18', 'sid': Equity(7 [SBIN]), 'commission': None}]",23
24,"[{'amount': -1, 'dt': Timestamp('2018-02-05 04:16:00+0000', tz='UTC'), 'price': 290.89999997620555, 'order_id': '7bd9c87b9eaf4f449381b0342f578e21', 'sid': Equity(7 [SBIN]), 'commission': None}]",24
25,"[{'amount': -1, 'dt': Timestamp('2018-02-06 04:16:00+0000', tz='UTC'), 'price': 286.9999999937183, 'order_id': '2b0154672d35453aa12675d7da5bbe8e', 'sid': Equity(7 [SBIN]), 'commission': None}]",25
26,[],26
27,[],27
28,"[{'amount': 1, 'dt': Timestamp('2018-02-09 04:16:00+0000', tz='UTC'), 'price': 298.4500000156798, 'order_id': '9e8c67fd79004b0fa6a093d784004114', 'sid': Equity(7 [SBIN]), 'commission': None}]",28
29,[],29
