,order_str,order_id
0,"[{'id': 'e4bcb2b7ea3546e490375179124e7573', 'dt': Timestamp('2018-01-01 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-01 04:15:00+0000', tz='UTC'), 'amount': -24, 'filled': -24, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",0
1,"[{'id': '53ef4ad7def24a87a99e61132ff2d09c', 'dt': Timestamp('2018-01-02 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-02 04:15:00+0000', tz='UTC'), 'amount': -6, 'filled': -6, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",1
2,[],2
3,[],3
4,[],4
5,[],5
6,[],6
7,[],7
8,[],8
9,[],9
10,[],10
11,[],11
12,"[{'id': '5c812f5494ec4d3db3eaf7d12dc6b267', 'dt': Timestamp('2018-01-17 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-17 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",12
13,"[{'id': '62aa706ea92c4ac1b1391f15ee43546e', 'dt': Timestamp('2018-01-18 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-18 04:15:00+0000', tz='UTC'), 'amount': 55, 'filled': 55, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",13
14,[],14
15,[],15
16,[],16
17,[],17
18,[],18
19,[],19
20,[],20
21,"[{'id': 'b1d155e038f942f390f58665b3398a9e', 'dt': Timestamp('2018-01-31 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-31 04:15:00+0000', tz='UTC'), 'amount': 5, 'filled': 5, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",21
22,[],22
23,[],23
24,"[{'id': 'ce182f0f558c459ca255517c9546a878', 'dt': Timestamp('2018-02-05 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-05 04:15:00+0000', tz='UTC'), 'amount': -54, 'filled': -54, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",24
25,"[{'id': 'f751bde2b08043b597ff81b1d2b4c5ef', 'dt': Timestamp('2018-02-06 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-06 04:15:00+0000', tz='UTC'), 'amount': -1, 'filled': -1, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",25
26,[],26
27,[],27
28,[],28
29,[],29
30,"[{'id': '4b5c41cf81ac49dd9aa0093149c191d0', 'dt': Timestamp('2018-02-14 04:16:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-02-14 04:15:00+0000', tz='UTC'), 'amount': -6, 'filled': -6, 'commission': 5.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(7 [SBIN]), 'status': <ORDER_STATUS.FILLED: 1>}]",30
