,transaction_str,txn_id
0,"[{'amount': -24, 'dt': Timestamp('2018-01-01 04:16:00+0000', tz='UTC'), 'price': 311.3499950407418, 'order_id': 'e4bcb2b7ea3546e490375179124e7573', 'sid': Equity(7 [SBIN]), 'commission': None}]",0
1,"[{'amount': -6, 'dt': Timestamp('2018-01-02 04:16:00+0000', tz='UTC'), 'price': 304.49999969629016, 'order_id': '53ef4ad7def24a87a99e61132ff2d09c', 'sid': Equity(7 [SBIN]), 'commission': None}]",1
2,[],2
3,[],3
4,[],4
5,[],5
6,[],6
7,[],7
8,[],8
9,[],9
10,[],10
11,[],11
12,"[{'amount': -1, 'dt': Timestamp('2018-01-17 04:16:00+0000', tz='UTC'), 'price': 298.9999999966344, 'order_id': '5c812f5494ec4d3db3eaf7d12dc6b267', 'sid': Equity(7 [SBIN]), 'commission': None}]",12
13,"[{'amount': 55, 'dt': Timestamp('2018-01-18 04:16:00+0000', tz='UTC'), 'price': 312.70001933315166, 'order_id': '62aa706ea92c4ac1b1391f15ee43546e', 'sid': Equity(7 [SBIN]), 'commission': None}]",13
14,[],14
15,[],15
16,[],16
17,[],17
18,[],18
19,[],19
20,[],20
21,"[{'amount': 5, 'dt': Timestamp('2018-01-31 04:16:00+0000', tz='UTC'), 'price': 316.10000033396886, 'order_id': 'b1d155e038f942f390f58665b3398a9e', 'sid': Equity(7 [SBIN]), 'commission': None}]",21
22,[],22
23,[],23
24,"[{'amount': -54, 'dt': Timestamp('2018-02-05 04:16:00+0000', tz='UTC'), 'price': 290.8999306152264, 'order_id': 'ce182f0f558c459ca255517c9546a878', 'sid': Equity(7 [SBIN]), 'commission': None}]",24
25,"[{'amount': -1, 'dt': Timestamp('2018-02-06 04:16:00+0000', tz='UTC'), 'price': 286.9999999937183, 'order_id': 'f751bde2b08043b597ff81b1d2b4c5ef', 'sid': Equity(7 [SBIN]), 'commission': None}]",25
26,[],26
27,[],27
28,[],28
29,[],29
30,"[{'amount': -6, 'dt': Timestamp('2018-02-14 04:16:00+0000', tz='UTC'), 'price': 283.9999998835196, 'order_id': '4b5c41cf81ac49dd9aa0093149c191d0', 'sid': Equity(7 [SBIN]), 'commission': None}]",30
31,[],31
32,"[{'amount': -1, 'dt': Timestamp('2018-02-16 04:16:00+0000', tz='UTC'), 'price': 277.04999999789675, 'order_id': '1c585f7650f4405cb9afe94d9696bc87', 'sid': Equity(7 [SBIN]), 'commission': None}]",32
33,"[{'amount': -1, 'dt': Timestamp('2018-02-19 04:16:00+0000', tz='UTC'), 'price': 268.7499999997917, 'order_id': '9175b13ccf79483dbb06126e3c4d0a95', 'sid': Equity(7 [SBIN]), 'commission': None}]",33
34,[],34
35,[],35
36,[],36
37,[],37
38,[],38
39,[],39
40,[],40
41,[],41
42,"[{'amount': -1, 'dt': Timestamp('2018-03-05 04:16:00+0000', tz='UTC'), 'price': 260.0999999913863, 'order_id': 'c75f6ddffebd4fbbba99d3f39ca93ddf', 'sid': Equity(7 [SBIN]), 'commission': None}]",42
43,[],43
