index,Equity(8 [APOLLOTYRE]),cash
2021-01-05 00:00:00+00:00,18690.0,82013.5
2021-01-06 00:00:00+00:00,18625.0,82068.5
2021-01-15 00:00:00+00:00,18350.0,81535.5
2021-01-20 00:00:00+00:00,20380.0,81278.5
2021-01-21 00:00:00+00:00,21960.0,81043.5
2021-01-28 00:00:00+00:00,20420.0,83492.5
2021-02-01 00:00:00+00:00,21600.0,83412.5
2021-02-02 00:00:00+00:00,22800.0,83027.5
2021-02-03 00:00:00+00:00,22900.0,82390.5
2021-02-04 00:00:00+00:00,24310.0,82688.5
2021-02-05 00:00:00+00:00,24190.0,83100.5
2021-02-10 00:00:00+00:00,24900.0,83157.5
2021-02-12 00:00:00+00:00,23945.0,83680.5
2021-02-16 00:00:00+00:00,23640.0,83549.5
2021-02-19 00:00:00+00:00,24000.0,83334.5
2021-02-23 00:00:00+00:00,23070.0,83360.5
2021-02-25 00:00:00+00:00,24165.0,73616.5
2021-03-01 00:00:00+00:00,24500.0,73440.5
2021-03-02 00:00:00+00:00,24650.0,73050.5
2021-03-04 00:00:00+00:00,26000.0,72947.5
2021-03-05 00:00:00+00:00,24385.0,73989.5
2021-03-09 00:00:00+00:00,23280.0,74474.5
2021-03-10 00:00:00+00:00,23850.0,74059.5
2021-03-12 00:00:00+00:00,24020.0,74131.5
2021-03-16 00:00:00+00:00,23300.0,74449.5
2021-03-18 00:00:00+00:00,21760.0,75309.5
2021-03-19 00:00:00+00:00,22600.0,74579.5
2021-03-22 00:00:00+00:00,22560.0,74400.5
2021-03-26 00:00:00+00:00,22530.0,74563.5
2021-04-01 00:00:00+00:00,23645.0,74322.5
2021-04-05 00:00:00+00:00,22240.0,75084.5
2021-04-08 00:00:00+00:00,22480.0,75082.5
2021-04-13 00:00:00+00:00,21600.0,75931.5
2021-04-15 00:00:00+00:00,20800.0,76338.5
2021-04-20 00:00:00+00:00,20215.0,76748.5
2021-04-23 00:00:00+00:00,20205.0,76472.5
2021-04-27 00:00:00+00:00,20560.0,76294.5
2021-04-29 00:00:00+00:00,20820.0,75889.5
2021-05-04 00:00:00+00:00,21750.0,75617.5
2021-05-06 00:00:00+00:00,21325.0,75996.5
2021-05-11 00:00:00+00:00,22400.0,74961.5
2021-05-12 00:00:00+00:00,22215.0,74831.5
2021-05-14 00:00:00+00:00,20830.0,75721.5
2021-05-18 00:00:00+00:00,21500.0,75078.5
2021-05-20 00:00:00+00:00,21390.0,74693.5
2021-05-21 00:00:00+00:00,21740.0,74589.5
2021-05-25 00:00:00+00:00,21870.0,73909.5
2021-05-26 00:00:00+00:00,22235.0,73738.5
2021-05-27 00:00:00+00:00,22400.0,73810.5
2021-05-28 00:00:00+00:00,22375.0,73697.5
2021-05-31 00:00:00+00:00,22275.0,73564.5
2021-06-01 00:00:00+00:00,22180.0,73804.5
2021-06-02 00:00:00+00:00,23135.0,73151.5
2021-06-03 00:00:00+00:00,23030.0,72903.5
2021-06-07 00:00:00+00:00,23790.0,72620.5
2021-06-08 00:00:00+00:00,23610.0,72744.5
2021-06-09 00:00:00+00:00,23580.0,72981.5
2021-06-10 00:00:00+00:00,24130.0,72723.5
2021-06-11 00:00:00+00:00,23860.0,72618.5
2021-06-14 00:00:00+00:00,23790.0,72354.5
2021-06-18 00:00:00+00:00,22800.0,73065.5
2021-06-21 00:00:00+00:00,22650.0,72772.5
2021-06-23 00:00:00+00:00,22435.0,72777.5
2021-06-24 00:00:00+00:00,21910.0,72909.5
2021-06-25 00:00:00+00:00,22100.0,72927.5
2021-06-28 00:00:00+00:00,23025.0,72790.5
2021-06-29 00:00:00+00:00,22625.0,73186.5
2021-06-30 00:00:00+00:00,22500.0,73214.5
2021-07-01 00:00:00+00:00,22820.0,73129.5
2021-07-02 00:00:00+00:00,22735.0,73337.5
2021-07-05 00:00:00+00:00,22870.0,73182.5
2021-07-06 00:00:00+00:00,23040.0,73132.5
2021-07-07 00:00:00+00:00,23125.0,72925.5
2021-07-08 00:00:00+00:00,22675.0,73299.5
2021-07-13 00:00:00+00:00,23650.0,72116.5
2021-07-14 00:00:00+00:00,24000.0,71830.5
2021-07-19 00:00:00+00:00,22565.0,72552.5
2021-07-22 00:00:00+00:00,22675.0,72458.5
2021-07-26 00:00:00+00:00,22250.0,72610.5
2021-07-28 00:00:00+00:00,22095.0,73030.5
2021-08-02 00:00:00+00:00,22860.0,72140.5
2021-08-03 00:00:00+00:00,22895.0,71780.5
2021-08-04 00:00:00+00:00,-22545.0,117087.5
2021-08-09 00:00:00+00:00,-22290.0,73748.50000000093
2021-08-10 00:00:00+00:00,21485.0,29781.50000000093
2021-08-12 00:00:00+00:00,22425.0,29496.50000000093
2021-08-13 00:00:00+00:00,22490.0,29293.50000000093
2021-08-16 00:00:00+00:00,22585.0,29038.500000000946
2021-08-17 00:00:00+00:00,22205.0,29189.500000000946
2021-08-24 00:00:00+00:00,20865.0,30215.500000000975
2021-08-25 00:00:00+00:00,20785.0,30025.500000000975
2021-08-26 00:00:00+00:00,20845.0,29737.50000000099
2021-09-02 00:00:00+00:00,22170.0,28003.50000000093
2021-09-06 00:00:00+00:00,22150.0,26791.500000000975
2021-09-07 00:00:00+00:00,-21770.0,70211.50000000099
2021-09-08 00:00:00+00:00,21495.0,26725.50000000099
2021-09-09 00:00:00+00:00,-644400.0,692848.0000000009
2021-09-13 00:00:00+00:00,21515.0,26426.50000000093
2021-09-14 00:00:00+00:00,22115.0,26476.50000000094
2021-09-15 00:00:00+00:00,22210.0,26334.500000000946
2021-09-17 00:00:00+00:00,22350.0,26490.50000000095
2021-09-21 00:00:00+00:00,21955.0,26988.50000000096
2021-09-22 00:00:00+00:00,23235.0,26572.50000000096
2021-09-23 00:00:00+00:00,23670.0,26653.50000000096
2021-09-24 00:00:00+00:00,22835.0,27010.50000000096
2021-09-30 00:00:00+00:00,22580.0,27425.50000000096
2021-10-04 00:00:00+00:00,22810.0,26377.50000000096
2021-10-07 00:00:00+00:00,22820.0,26338.50000000096
2021-10-08 00:00:00+00:00,23420.0,26098.50000000096
2021-10-12 00:00:00+00:00,23900.0,25667.50000000096
2021-10-13 00:00:00+00:00,23920.0,25832.50000000096
2021-10-20 00:00:00+00:00,22615.0,26616.50000000096
2021-10-26 00:00:00+00:00,21940.0,26576.50000000096
2021-11-01 00:00:00+00:00,21995.0,26384.50000000096
2021-11-03 00:00:00+00:00,22095.0,26441.50000000096
2021-11-08 00:00:00+00:00,22895.0,26173.50000000096
2021-11-09 00:00:00+00:00,23100.0,25857.50000000096
2021-11-10 00:00:00+00:00,23280.0,25503.50000000096
2021-11-11 00:00:00+00:00,23135.0,25444.50000000096
2021-11-15 00:00:00+00:00,23175.0,25179.50000000096
2021-11-22 00:00:00+00:00,21760.0,26627.50000000096
2021-11-25 00:00:00+00:00,22310.0,25865.50000000096
2021-12-01 00:00:00+00:00,20840.0,26629.50000000096
