,sid,symbol,price,order_id,amount,commission,dt,txn_dollars
2021-01-01 04:26:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),180.055,5cbfb243c5c34cf8b3b38c0f5e982d39,100,,2021-01-01 04:26:00+00:00,-18005.5
2021-01-01 04:45:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.44500000000002,69da6034bab442e4b1289d382876963c,-100,,2021-01-01 04:45:00+00:00,17944.500000000004
2021-01-01 05:32:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.505,0187d949cbfe4a38b55846ba31ef4005,100,,2021-01-01 05:32:00+00:00,-17850.5
2021-01-01 05:58:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),177.995,22544f0171484183afec2e2b165b4da3,-100,,2021-01-01 05:58:00+00:00,17799.5
2021-01-01 06:09:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.255,c7c4281a8a3948bbafa73a8a77c8a17f,100,,2021-01-01 06:09:00+00:00,-17825.5
2021-01-01 06:36:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.19500000000002,879b00269e5146209a34aaa7a7f33b36,-100,,2021-01-01 06:36:00+00:00,17819.500000000004
2021-01-01 06:47:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.805,63d4573699da43f598cef1c6c2502e3d,100,,2021-01-01 06:47:00+00:00,-17880.5
2021-01-01 07:20:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.745,22cece24e948455aac8522264a016187,-100,,2021-01-01 07:20:00+00:00,17874.5
2021-01-01 07:48:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.105,48446e3ab91b4a5cafba5b1f5a0aab79,100,,2021-01-01 07:48:00+00:00,-17910.5
2021-01-01 08:14:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.94500000000002,8af693589c0344b48f6f3c89a8dd5044,-100,,2021-01-01 08:14:00+00:00,17894.500000000004
2021-01-01 08:34:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.005,94b824079b424508b0630a08b3616a41,100,,2021-01-01 08:34:00+00:00,-17900.5
2021-01-01 09:29:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),180.245,2034e37cba2140d5b35c766aa0eb8518,-100,,2021-01-01 09:29:00+00:00,18024.5
2021-01-04 03:46:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),181.005,5f29aad141af4a5cbec86209bbe7306a,100,,2021-01-04 03:46:00+00:00,-18100.5
2021-01-04 05:25:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),183.94500000000002,2e7a80e07d8b4de6baae58a015f2a25a,-100,,2021-01-04 05:25:00+00:00,18394.500000000004
2021-01-04 05:56:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),183.805,3de76d8d51594bf38f58499de26689cf,100,,2021-01-04 05:56:00+00:00,-18380.5
