index,Equity(8 [APOLLOTYRE]),cash
2021-01-01 00:00:00+00:00,18015.0,81937.5
2021-01-05 00:00:00+00:00,18690.0,81891.5
2021-01-15 00:00:00+00:00,18350.0,81076.5
2021-01-20 00:00:00+00:00,20380.0,80613.5
2021-01-21 00:00:00+00:00,21960.0,80563.5
2021-01-28 00:00:00+00:00,20420.0,82931.5
2021-02-01 00:00:00+00:00,21600.0,82671.5
2021-02-02 00:00:00+00:00,22800.0,82511.5
2021-02-03 00:00:00+00:00,22900.0,81859.5
2021-02-05 00:00:00+00:00,24190.0,82104.5
2021-02-10 00:00:00+00:00,24900.0,82164.5
2021-02-12 00:00:00+00:00,23945.0,82675.5
2021-02-16 00:00:00+00:00,23640.0,82310.5
2021-02-19 00:00:00+00:00,24000.0,82109.5
2021-02-23 00:00:00+00:00,23070.0,82074.5
2021-02-25 00:00:00+00:00,24165.0,81211.5
2021-03-01 00:00:00+00:00,24500.0,80708.5
2021-03-02 00:00:00+00:00,24650.0,80370.5
2021-03-04 00:00:00+00:00,26000.0,80097.5
2021-03-05 00:00:00+00:00,24385.0,81142.5
2021-03-08 00:00:00+00:00,23500.0,81578.5
2021-03-09 00:00:00+00:00,23280.0,81508.5
2021-03-10 00:00:00+00:00,23850.0,80910.5
2021-03-12 00:00:00+00:00,24020.0,80944.5
2021-03-16 00:00:00+00:00,23300.0,80595.5
2021-03-18 00:00:00+00:00,21760.0,81512.5
2021-03-19 00:00:00+00:00,22600.0,81007.5
2021-03-22 00:00:00+00:00,22560.0,80990.5
2021-03-25 00:00:00+00:00,21990.0,81198.5
2021-03-26 00:00:00+00:00,22530.0,81123.5
2021-04-01 00:00:00+00:00,23645.0,81122.5
2021-04-05 00:00:00+00:00,22240.0,81848.5
2021-04-08 00:00:00+00:00,22480.0,81636.5
2021-04-12 00:00:00+00:00,20420.0,83254.5
2021-04-13 00:00:00+00:00,21600.0,83018.5
2021-04-15 00:00:00+00:00,20800.0,83324.5
2021-04-20 00:00:00+00:00,20215.0,83780.5
2021-04-23 00:00:00+00:00,20205.0,83494.5
2021-04-27 00:00:00+00:00,20560.0,83402.5
2021-04-29 00:00:00+00:00,20820.0,83114.5
2021-05-04 00:00:00+00:00,21750.0,83449.5
2021-05-06 00:00:00+00:00,21325.0,83369.5
2021-05-11 00:00:00+00:00,22400.0,82737.5
2021-05-12 00:00:00+00:00,22215.0,82258.5
2021-05-14 00:00:00+00:00,20830.0,82988.5
2021-05-18 00:00:00+00:00,21500.0,81973.5
2021-05-20 00:00:00+00:00,21390.0,81700.5
2021-05-21 00:00:00+00:00,21740.0,81586.5
2021-05-25 00:00:00+00:00,21870.0,80778.5
2021-05-27 00:00:00+00:00,22400.0,80791.5
2021-05-28 00:00:00+00:00,22375.0,80598.5
2021-05-31 00:00:00+00:00,22275.0,80545.5
2021-06-01 00:00:00+00:00,22180.0,80760.5
2021-06-02 00:00:00+00:00,23135.0,80194.5
2021-06-07 00:00:00+00:00,23790.0,79451.5
2021-06-08 00:00:00+00:00,23610.0,79537.5
2021-06-09 00:00:00+00:00,23580.0,79578.5
2021-06-10 00:00:00+00:00,24130.0,79305.5
2021-06-11 00:00:00+00:00,23860.0,79204.5
2021-06-14 00:00:00+00:00,23790.0,78976.5
2021-06-18 00:00:00+00:00,22800.0,79810.5
2021-06-21 00:00:00+00:00,22650.0,79567.5
2021-06-23 00:00:00+00:00,22435.0,79496.5
2021-06-28 00:00:00+00:00,23025.0,79058.5
2021-06-29 00:00:00+00:00,22625.0,79513.5
2021-06-30 00:00:00+00:00,22500.0,79563.5
2021-07-01 00:00:00+00:00,22820.0,79379.5
2021-07-02 00:00:00+00:00,22735.0,79495.5
2021-07-05 00:00:00+00:00,22870.0,79249.5
2021-07-06 00:00:00+00:00,23040.0,79226.5
2021-07-07 00:00:00+00:00,23125.0,79027.5
2021-07-08 00:00:00+00:00,22675.0,79266.5
2021-07-13 00:00:00+00:00,23650.0,78307.5
2021-07-19 00:00:00+00:00,22565.0,78971.5
2021-07-20 00:00:00+00:00,22195.0,79152.5
2021-07-22 00:00:00+00:00,22675.0,78861.5
2021-07-26 00:00:00+00:00,22250.0,78909.5
2021-07-28 00:00:00+00:00,22095.0,79151.5
2021-08-02 00:00:00+00:00,22860.0,78660.5
2021-08-03 00:00:00+00:00,22895.0,78530.5
2021-08-09 00:00:00+00:00,22290.0,78162.5
