index,Equity(8 [APOLLOTYRE]),cash
2021-01-01 00:00:00+00:00,18015.0,82115.5
2021-01-04 00:00:00+00:00,18800.0,82012.5
2021-01-05 00:00:00+00:00,18690.0,81883.5
2021-01-06 00:00:00+00:00,18625.0,82069.5
2021-01-13 00:00:00+00:00,19185.0,81812.5
2021-01-14 00:00:00+00:00,19030.0,81506.5
2021-01-15 00:00:00+00:00,18350.0,81782.5
2021-01-19 00:00:00+00:00,18925.0,81642.5
2021-01-20 00:00:00+00:00,20380.0,81704.5
2021-01-21 00:00:00+00:00,21960.0,81771.5
2021-01-22 00:00:00+00:00,23300.0,81632.5
2021-01-28 00:00:00+00:00,20420.0,83777.5
2021-02-01 00:00:00+00:00,21600.0,83605.5
2021-02-02 00:00:00+00:00,22800.0,83549.5
2021-02-03 00:00:00+00:00,22900.0,83562.5
2021-02-04 00:00:00+00:00,24310.0,83720.5
2021-02-05 00:00:00+00:00,24190.0,83866.5
2021-02-08 00:00:00+00:00,24900.0,83686.5
2021-02-10 00:00:00+00:00,24900.0,83229.5
2021-02-12 00:00:00+00:00,23945.0,83730.5
2021-02-16 00:00:00+00:00,23640.0,83913.5
2021-02-19 00:00:00+00:00,24000.0,84045.5
2021-02-23 00:00:00+00:00,23070.0,84214.5
2021-02-25 00:00:00+00:00,24165.0,83647.5
2021-03-02 00:00:00+00:00,24650.0,83340.5
2021-03-04 00:00:00+00:00,26000.0,83018.5
2021-03-05 00:00:00+00:00,24385.0,84199.5
2021-03-09 00:00:00+00:00,23280.0,84891.5
2021-03-10 00:00:00+00:00,23850.0,84627.5
2021-03-15 00:00:00+00:00,23525.0,85503.5
2021-03-16 00:00:00+00:00,23300.0,85347.5
2021-03-18 00:00:00+00:00,21760.0,86366.5
2021-03-19 00:00:00+00:00,22600.0,85690.5
2021-03-22 00:00:00+00:00,22560.0,85549.5
2021-03-30 00:00:00+00:00,22205.0,85512.5
2021-04-01 00:00:00+00:00,23645.0,85272.5
2021-04-07 00:00:00+00:00,22535.0,85675.5
2021-04-15 00:00:00+00:00,20800.0,87938.5
2021-04-23 00:00:00+00:00,20205.0,88262.5
2021-04-27 00:00:00+00:00,20560.0,87790.5
2021-04-29 00:00:00+00:00,20820.0,87571.5
2021-05-03 00:00:00+00:00,22195.0,87317.5
2021-05-06 00:00:00+00:00,21325.0,88130.5
2021-05-11 00:00:00+00:00,22400.0,87765.5
2021-05-18 00:00:00+00:00,21500.0,88473.5
2021-05-21 00:00:00+00:00,21740.0,87946.5
2021-05-24 00:00:00+00:00,21925.0,87621.5
2021-05-25 00:00:00+00:00,21870.0,87483.5
2021-05-27 00:00:00+00:00,22400.0,87198.5
2021-05-28 00:00:00+00:00,22375.0,86986.5
2021-05-31 00:00:00+00:00,22275.0,86802.5
2021-06-01 00:00:00+00:00,22180.0,86814.5
2021-06-02 00:00:00+00:00,23135.0,86433.5
2021-06-03 00:00:00+00:00,23030.0,86048.5
2021-06-10 00:00:00+00:00,24130.0,85920.5
2021-06-11 00:00:00+00:00,23860.0,85694.5
2021-06-14 00:00:00+00:00,23790.0,85503.5
