index,Equity(8 [APOLLOTYRE]),cash
2021-01-05 00:00:00+00:00,18690.0,81746.5
2021-01-06 00:00:00+00:00,18625.0,81867.5
2021-01-13 00:00:00+00:00,19185.0,81514.5
2021-01-20 00:00:00+00:00,20380.0,81930.5
2021-01-21 00:00:00+00:00,21960.0,81646.5
2021-01-22 00:00:00+00:00,23300.0,82315.5
2021-01-28 00:00:00+00:00,20420.0,84618.5
2021-02-01 00:00:00+00:00,21600.0,84265.5
2021-02-02 00:00:00+00:00,22800.0,84008.5
2021-02-03 00:00:00+00:00,22900.0,83651.5
2021-02-04 00:00:00+00:00,24310.0,83912.5
2021-02-05 00:00:00+00:00,24190.0,83993.5
2021-02-08 00:00:00+00:00,24900.0,83760.5
2021-02-10 00:00:00+00:00,24900.0,83712.5
2021-02-12 00:00:00+00:00,23945.0,84348.5
2021-02-16 00:00:00+00:00,23640.0,84538.5
2021-02-19 00:00:00+00:00,24000.0,84452.5
2021-02-23 00:00:00+00:00,23070.0,84709.5
2021-02-25 00:00:00+00:00,24165.0,75473.5
2021-03-02 00:00:00+00:00,24650.0,74802.5
2021-03-04 00:00:00+00:00,26000.0,74710.5
2021-03-05 00:00:00+00:00,24385.0,75623.5
2021-03-09 00:00:00+00:00,23280.0,76454.5
2021-03-10 00:00:00+00:00,23850.0,76329.5
2021-03-12 00:00:00+00:00,24020.0,76266.5
2021-03-16 00:00:00+00:00,23300.0,76882.5
2021-03-18 00:00:00+00:00,21760.0,77800.5
2021-03-19 00:00:00+00:00,22600.0,77141.5
2021-03-22 00:00:00+00:00,22560.0,76783.5
2021-03-26 00:00:00+00:00,22530.0,77034.5
2021-03-30 00:00:00+00:00,22205.0,77463.5
2021-04-01 00:00:00+00:00,23645.0,77138.5
2021-04-15 00:00:00+00:00,20800.0,78853.5
2021-04-20 00:00:00+00:00,20215.0,79124.5
2021-04-23 00:00:00+00:00,20205.0,78974.5
2021-04-27 00:00:00+00:00,20560.0,78640.5
2021-04-29 00:00:00+00:00,20820.0,78173.5
2021-05-03 00:00:00+00:00,22195.0,77797.5
2021-05-04 00:00:00+00:00,21750.0,78085.5
2021-05-06 00:00:00+00:00,21325.0,78541.5
2021-05-11 00:00:00+00:00,22400.0,77732.5
2021-05-12 00:00:00+00:00,22215.0,77457.5
2021-05-18 00:00:00+00:00,21500.0,77805.5
2021-05-20 00:00:00+00:00,21390.0,77342.5
2021-05-25 00:00:00+00:00,21870.0,76899.5
2021-05-26 00:00:00+00:00,22235.0,76803.5
2021-05-27 00:00:00+00:00,22400.0,76686.5
2021-05-28 00:00:00+00:00,22375.0,76523.5
2021-05-31 00:00:00+00:00,22275.0,76481.5
2021-06-01 00:00:00+00:00,22180.0,76493.5
2021-06-02 00:00:00+00:00,23135.0,75823.5
2021-06-03 00:00:00+00:00,23030.0,75886.5
2021-06-07 00:00:00+00:00,23790.0,75361.5
2021-06-08 00:00:00+00:00,23610.0,75696.5
2021-06-09 00:00:00+00:00,23580.0,75709.5
2021-06-10 00:00:00+00:00,24130.0,75317.5
2021-06-11 00:00:00+00:00,23860.0,75319.5
2021-06-14 00:00:00+00:00,23790.0,74916.5
2021-06-17 00:00:00+00:00,22980.0,75178.5
2021-06-18 00:00:00+00:00,22800.0,75769.5
2021-06-21 00:00:00+00:00,22650.0,75814.5
2021-06-23 00:00:00+00:00,22435.0,76025.5
2021-06-24 00:00:00+00:00,21910.0,76193.5
2021-06-25 00:00:00+00:00,22100.0,76241.5
2021-06-28 00:00:00+00:00,23025.0,76046.5
2021-06-29 00:00:00+00:00,22625.0,76142.5
2021-06-30 00:00:00+00:00,22500.0,76240.5
2021-07-01 00:00:00+00:00,22820.0,76108.5
2021-07-02 00:00:00+00:00,22735.0,75996.5
2021-07-06 00:00:00+00:00,23040.0,75769.5
2021-07-07 00:00:00+00:00,23125.0,75787.5
2021-07-08 00:00:00+00:00,22675.0,76116.5
2021-07-13 00:00:00+00:00,23650.0,75057.5
2021-07-14 00:00:00+00:00,24000.0,74902.5
2021-07-16 00:00:00+00:00,23065.0,75323.5
2021-07-19 00:00:00+00:00,22565.0,75133.5
2021-07-22 00:00:00+00:00,22675.0,75111.5
2021-07-26 00:00:00+00:00,22250.0,75361.5
2021-07-28 00:00:00+00:00,22095.0,75577.5
2021-07-29 00:00:00+00:00,21635.0,75394.5
2021-08-02 00:00:00+00:00,22860.0,74905.5
2021-08-03 00:00:00+00:00,22895.0,74653.5
2021-08-04 00:00:00+00:00,22545.0,74965.5
2021-08-05 00:00:00+00:00,22215.0,74976.5
2021-08-06 00:00:00+00:00,22215.0,74976.5
2021-08-09 00:00:00+00:00,-44580.0,147196.0
2021-08-10 00:00:00+00:00,21485.0,80836.5
2021-08-12 00:00:00+00:00,22425.0,80247.5
2021-08-13 00:00:00+00:00,22490.0,80424.5
2021-08-16 00:00:00+00:00,22585.0,80293.5
2021-08-17 00:00:00+00:00,22205.0,80491.5
2021-08-18 00:00:00+00:00,22000.0,80442.5
