,returns
2021-01-01,-0.000660000000000105
2021-01-04,0.0060339824284025845
2021-01-05,-0.000830540000198221
2021-01-06,0.00044796846302253
2021-01-07,0.0018358482962421707
2021-01-08,0.002195008094712625
2021-01-11,-0.0022793942757458607
2021-01-12,-0.0016687526074249392
2021-01-13,-0.00026864067816712023
2021-01-14,-0.0023885588033293326
2021-01-15,-0.006689013258313281
2021-01-18,-0.0033494528892166198
2021-01-19,0.006187333098201853
2021-01-20,0.015027691814641475
2021-01-21,0.015106142605536554
2021-01-22,0.0201593110453413
2021-01-25,-0.0025010838029807525
2021-01-27,-0.0008405608833530476
2021-01-28,0.002499904401361608
2021-01-29,-0.0020359412771588925
2021-02-01,0.011844016358979914
2021-02-02,0.011011270970757936
2021-02-03,-0.0020362889101656068
2021-02-04,0.01781176437553489
2021-02-05,0.0029243396096281238
2021-02-08,0.005579471944469505
2021-02-09,-0.0016960125468467036
2021-02-10,0.004608021336646173
2021-02-11,-0.005332424139104841
2021-02-12,0.001046608349101863
2021-02-15,-0.0015933817587471255
2021-02-16,-0.004110992217008502
2021-02-17,0.004100411877879795
2021-02-18,-0.002451114891437789
2021-02-19,0.003451911616393799
2021-02-22,-0.007085653721223828
2021-02-23,-0.0032621398533178025
2021-02-24,0.006744124856323808
2021-02-25,-0.08332645556503038
2021-02-26,-0.005437147673331255
2021-03-01,0.0072070169085769464
2021-03-02,-0.0036251604108524793
2021-03-03,0.0017590369898914382
2021-03-04,0.010620735197005127
2021-03-05,-0.006068856273047429
2021-03-08,-0.004298044215570229
2021-03-09,-0.002125786541019359
2021-03-10,0.0017543771710404332
2021-03-12,0.0008256150832355313
2021-03-15,-0.00023998080153697643
2021-03-16,-0.004995799327892736
2021-03-17,-0.004327307268972014
2021-03-18,-0.00256930563127189
2021-03-19,0.0017510210071916
2021-03-22,-0.0022935663947056817
2021-03-23,0.00012658804705045767
2021-03-24,-0.0020859069644993955
2021-03-25,-0.001724977676758499
2021-03-26,0.0003811672866993465
2021-03-30,0.0025147455534733076
2021-03-31,0.0016925618494538774
2021-04-01,0.011053888338020679
2021-04-05,-0.005163795389612202
2021-04-06,-0.0006186469236152403
2021-04-07,0.001630615305639349
2021-04-08,-0.0005878747073190249
2021-04-09,-0.0018048817274578521
2021-04-12,-0.0011987146555453299
2021-04-13,0.00763963128063283
2021-04-15,-0.004634101179542771
2021-04-16,0.0008396305625519851
2021-04-19,-0.00011051722059318703
2021-04-20,-0.0012107997307093665
2021-04-22,-0.0016146800066410005
2021-04-23,-0.002262192664247098
2021-04-26,0.0006716120203413833
2021-04-27,-0.00047940090026332705
2021-04-28,0.006558320585250854
2021-04-29,-0.006967015769831941
2021-04-30,0.004328741937275504
2021-05-03,0.002947152427124733
2021-05-04,-0.0023217097411523113
2021-05-05,0.0002965435089643531
2021-05-06,-0.0015325246962587524
2021-05-07,0.003205628217579859
2021-05-10,0.0011537496864804098
2021-05-11,0.003071450045093016
2021-05-12,-0.005839365012763054
2021-05-14,-0.0026278237800466675
2021-05-17,-0.003289655971505545
2021-05-18,-0.0024412680441547874
2021-05-19,-0.0014642920477301313
2021-05-20,-0.003536706651242172
2021-05-21,0.0014614597283826303
2021-05-24,-0.0012813602757992815
2021-05-25,-0.0033551579826283096
2021-05-26,0.0016806722689091114
2021-05-27,0.002993614981335435
2021-05-28,-0.0016880983978313502
2021-05-31,-0.002139157273898573
2021-06-01,0.0013270790479753547
2021-06-02,0.004536673140346448
2021-06-03,-0.002070340845083507
2021-06-04,0.00021865036789181502
2021-06-07,0.0050176915568582725
2021-06-08,5.564239140842808e-05
2021-06-09,5.563929550556068e-05
2021-06-10,0.003287593633194641
2021-06-11,-0.004375816054404735
2021-06-14,-0.00464821894225298
2021-06-15,-0.0016431220336058372
2021-06-16,-0.0026496275235158295
2021-06-17,0.0007765641125205835
2021-06-18,0.0045383539405587925
2021-06-21,-0.0035878541481387805
2021-06-22,0.0006375306652246504
2021-06-23,-0.0028186386943531705
2021-06-24,-0.0036239847475724174
2021-06-25,-0.002559867030553553
2021-06-28,0.007447295469390047
2021-06-29,-0.001021028073167285
2021-06-30,-0.0002044143274003707
2021-07-01,0.0014720840723565498
2021-07-02,-0.00026540226306392967
2021-07-05,-0.00021442027394802388
2021-07-06,0.001174458089719499
2021-07-07,4.080279499163453e-05
2021-07-08,-0.002315464138356371
2021-07-09,-0.005393136658504716
2021-07-12,-0.00022614666639275693
2021-07-13,0.005433888546165999
2021-07-14,-0.0017231065002520918
2021-07-15,-0.0018643720549065268
2021-07-16,0.0011853691578238568
2021-07-19,-0.006283731490924316
2021-07-20,-0.0012688195336304497
2021-07-22,0.0026338213649397257
2021-07-23,-0.0029514023024028724
2021-07-26,-0.00023247163845840912
2021-07-27,0.0019790520185809513
2021-07-28,-0.0004899180031966432
2021-07-29,-0.006444289657661861
2021-07-30,0.007291006719774229
2021-08-02,0.0012424601742535568
2021-08-03,-0.0004325192702772096
2021-08-04,-0.000561488097997942
2021-08-05,-0.008086878537042042
2021-08-06,0.0
2021-08-09,0.0633050834246991
2021-08-10,-0.004813518902223812
2021-08-11,-0.0011637784990683464
2021-08-12,0.0096209625878787
2021-08-13,-0.00044797849703437365
2021-08-16,-0.0006625258799167755
2021-08-17,-0.003734053495435319
2021-08-18,-0.0009149936635470812
2021-08-20,-0.0004799545512428338
2021-08-23,-0.004008074948062101
2021-08-24,0.0029664977615961874
2021-08-25,-0.002393647025354384
2021-08-26,0.0008063524842056857
2021-08-27,0.0015426260998581132
2021-08-30,0.0032914261047853888
2021-08-31,0.000352019713104168
2021-09-01,-0.01269757485117673
2021-09-02,-0.004103797869390857
2021-09-03,-0.0006859562876815328
2021-09-06,-0.0034818768310939108
2021-09-07,-0.00014475319580031787
2021-09-08,-0.00029454051679433935
2021-09-09,0.001782744827792726
2021-09-13,-0.008199990030407833
2021-09-14,0.0050059055612790004
2021-09-15,-0.000760148228904578
2021-09-16,-0.0017166393906178357
2021-09-17,0.0028125094001001383
2021-09-20,-0.003934468846705896
2021-09-21,0.0015007026701452375
2021-09-22,0.008389337422758159
2021-09-23,0.003876489093648239
2021-09-24,-0.0018515493111140868
2021-09-27,0.0035363730600788124
2021-09-28,-0.0066623173793569634
2021-09-29,0.0014030967639211411
2021-09-30,-0.001997356731888944
2021-10-01,-0.003196192448622459
2021-10-04,0.001483353477639504
2021-10-05,-0.0014412599304787221
2021-10-06,-0.000978874294560561
2021-10-07,0.004014317566015002
2021-10-08,0.003156788838708069
2021-10-11,0.003608459778331685
2021-10-12,-0.005123690639869394
2021-10-13,-0.0009743390898888649
2021-10-14,-0.0005573082013856645
2021-10-18,-9.957481553679592e-05
2021-10-19,-0.004212434149597044
2021-10-20,-0.006095365721943913
2021-10-21,-0.000568499112035048
2021-10-22,-0.0013792686855667036
2021-10-25,-0.003639443094635153
2021-10-26,3.541434786979991e-05
2021-10-27,-0.0018161858074445814
2021-10-28,-0.0003040930930325869
2021-10-29,-0.001571625567811985
2021-11-01,0.0028130680721851764
2021-11-02,0.0025317481214439663
2021-11-03,-0.0034900400016153466
2021-11-08,0.005575237834576585
2021-11-09,-0.00026209545314870297
2021-11-10,-0.0028233063942854075
2021-11-11,-0.00010111785791977468
2021-11-12,0.0009556603916700546
2021-11-15,-0.0024298083431820716
2021-11-16,0.0032155643442024484
2021-11-17,-0.002099822322726541
2021-11-18,-0.00044512787309769486
2021-11-22,-0.00207987530869147
2021-11-23,-0.0017748748713216633
2021-11-24,0.0011633400559825091
2021-11-25,-0.0010300594694439003
2021-11-26,-0.0032051119249462134
2021-11-29,-0.00369951386553502
2021-11-30,-0.0029869678184908377
2021-12-01,0.0005386493751671217
2021-12-02,-7.178125176376948e-05
2021-12-03,-0.000825543653826033
2021-12-06,0.00013342775913183225
2021-12-07,0.0009851812322985154
2021-12-08,0.0026040598728731545
2021-12-09,-0.00011759412642908806
2021-12-10,0.0016465113900747674
2021-12-13,0.0004951834475999117
2021-12-14,-0.0004643236182547694
2021-12-15,-0.0005257972464571825
2021-12-16,0.0004034935389969352
2021-12-17,-0.0036197662723547186
2021-12-20,-0.0023006763681077125
2021-12-21,-0.0027938842695068855
2021-12-22,0.005974238670834131
2021-12-23,-0.0016331587542924852
2021-12-24,-0.00048203150639969383
2021-12-27,0.0017802723252293706
2021-12-28,0.004834554775402955
2021-12-29,-0.00040773680589234473
2021-12-30,-0.0011931166347991518
2021-12-31,0.0016744005594930833
2022-01-03,0.0029609772753931285
2022-01-04,0.001915650406502989
2022-01-05,-0.0008215968393882056
2022-01-06,0.001025302641930681
2022-01-07,0.004279549937379112
2022-01-10,-0.0013985590297938
2022-01-11,-0.0008443554584793844
2022-01-12,0.0020392982385120106
2022-01-13,-0.0010200989799024063
2022-01-14,-0.002249542508770186
2022-01-17,0.010599220764745176
2022-01-18,-0.005690221342090629
2022-01-19,-0.0016638935108153063
2022-01-20,3.535353535455421e-05
2022-01-21,0.0007878509345626838
2022-01-24,-0.0036535579295834397
2022-01-25,-0.0046343427590301856
2022-01-27,0.008960737619832626
2022-01-28,0.007448874095367097
2022-01-31,-0.004565432865108798
2022-02-01,-0.0010057832537097022
2022-02-02,-0.0004681600805441777
2022-02-03,-0.007035763030263542
2022-02-04,0.0012325015216061441
2022-02-07,0.001970588086300351
2022-02-08,-0.0014712425173915022
2022-02-09,0.0016202449607836122
2022-02-10,-0.0028915029243615775
2022-02-11,-0.0038783466582844595
2022-02-14,-0.0007837788318645345
2022-02-15,0.003631640605103348
2022-02-16,-2.5375171916919292e-05
2022-02-17,-0.004171784122860234
2022-02-18,-0.0008205243201367951
2022-02-21,-0.0010354237331362537
2022-02-22,0.0028337724404139397
2022-02-23,0.004322656524462287
2022-02-24,-0.0060023522731887935
2022-02-25,-0.002662287323024759
2022-02-28,0.0035438506775762324
2022-03-02,-0.00224211819020248
2022-03-03,-0.0001889654397535523
2022-03-04,0.0008990325184148329
2022-03-07,0.006098743505731807
2022-03-08,0.0016841080061069658
2022-03-09,0.00480581762200738
2022-03-10,-0.003225513814271719
2022-03-11,-0.0018808967630372653
2022-03-14,-0.00042045327902962004
2022-03-15,0.0015355533820184952
2022-03-16,-0.0006932286237640861
2022-03-17,0.006668725853084201
2022-03-21,0.00036216210778294844
2022-03-22,0.004168384637819766
2022-03-23,-0.001997926963000052
2022-03-24,-0.0017360065827758397
2022-03-25,0.0008695127712818884
2022-03-28,-0.0005674542395853743
2022-03-29,-0.0008792997759051735
2022-03-30,0.0013125669484579383
2022-03-31,-0.0020139823613317676
2022-04-01,0.0028031221849251775
2022-04-04,-0.0011191183555500084
2022-04-05,0.0005576740470567554
2022-04-06,-0.002289708363461096
2022-04-07,-0.0008908080686071962
2022-04-08,0.006064910663462708
2022-04-11,-0.0016272537464381287
2022-04-12,0.0004914793528518757
2022-04-13,-0.0023559369611434455
2022-04-18,-0.0011355300312528849
2022-04-19,-0.0016096579476857498
2022-04-20,0.0028164046755354555
2022-04-21,0.008681715643667598
2022-04-22,-0.0021417862497332685
2022-04-25,-0.0036238937390492554
2022-04-26,0.008195941105448634
2022-04-27,0.007692040129791522
2022-04-28,-0.002771271481052495
2022-04-29,0.000766442667616607
2022-05-02,0.000390339348184332
2022-05-04,-0.0026671013053984893
2022-05-05,0.0006091310225984081
2022-05-06,-0.003588220737440917
2022-05-09,-0.005190612194214128
2022-05-10,0.0009486718593965104
2022-05-11,-0.0004639098119423313
2022-05-12,-0.0052401223693335774
2022-05-13,0.005046983098125457
2022-05-16,0.001597340428187044
2022-05-17,0.00029902368765943876
2022-05-18,-0.0008768739443886231
2022-05-19,-0.005240928108030007
2022-05-20,-0.00134345267337177
2022-05-23,0.00021584394984341948
2022-05-24,-0.004190483837779979
2022-05-25,-0.007962666182859235
2022-05-26,0.003774524247382116
2022-05-27,0.0014474489976670224
2022-05-30,0.0037296272899562943
2022-05-31,-0.0010825071873454828
2022-06-01,-0.0005897236867319355
2022-06-02,-0.00021182059804114584
2022-06-03,-0.0036925125732060193
2022-06-06,-0.0036910084199551774
2022-06-07,-0.0016109524438715495
2022-06-08,0.0007126096273564198
2022-06-09,-0.0007477072853135924
2022-06-10,-0.0006210105164567992
2022-06-13,-0.0009320946152431286
2022-06-14,-0.0026510458885840027
2022-06-15,-0.004099596685564699
2022-06-16,-0.00246885698594157
2022-06-17,-0.0035092052319060096
2022-06-20,0.0009036269001994057
2022-06-21,-0.00011349625204337688
2022-06-22,-0.003931543672639148
2022-06-23,0.002626194607754151
2022-06-24,-0.0010642584804869681
2022-06-27,0.002647965410953468
2022-06-28,-0.00012895372108956416
2022-06-29,-0.0028167124941318455
2022-06-30,0.0017641246372164243
2022-07-01,0.0011929476652305926
2022-07-04,-0.002594535485301974
2022-07-05,-0.0011273957158961512
2022-07-06,0.0034533104148120053
2022-07-07,0.00703763898563059
2022-07-08,0.0004150036633050469
2022-07-11,0.0026579944689140156
2022-07-12,-0.0034069026810830128
2022-07-13,-0.0019065972364585848
2022-07-14,-0.0003440484748898909
2022-07-15,0.00226533725786382
2022-07-18,-0.0017323205920636298
2022-07-19,0.0023206144494194447
2022-07-20,-0.0013317761796459715
2022-07-21,-0.0014002297812967246
2022-07-22,-0.0012429697732352363
2022-07-25,0.0008485340930701746
2022-07-26,-0.0021375206815396064
2022-07-27,0.0004170914820655902
2022-07-28,0.006330970800326741
2022-07-29,0.0008541631502767544
2022-08-01,5.110384300821558e-05
2022-08-02,0.001042465123410219
2022-08-03,0.000296078491428986
2022-08-04,-0.000648117906426382
2022-08-05,-0.0024715945359375935
2022-08-08,-0.00033787069790747193
2022-08-10,-0.0019613365766233404
2022-08-11,0.0012981548755202077
2022-08-12,-0.00028184170744782744
2022-08-16,0.008903582961710121
2022-08-17,0.006594623705081348
2022-08-18,0.005582334384857557
2022-08-19,-0.005516209826784801
2022-08-22,-0.0009690509357400678
2022-08-23,0.00472365363241356
2022-08-24,-0.0031326209930869764
2022-08-25,-0.0015838427859498072
2022-08-26,-0.0053400559771237255
2022-08-29,-0.007882934361365446
2022-08-30,0.0082783406457827
2022-09-01,-0.0008885684400785632
2022-09-02,0.0018701942867602739
2022-09-05,0.0003094263438467859
2022-09-06,0.007449290060852931
2022-09-07,-0.004046932334688558
2022-09-08,0.0011371389583800795
2022-09-09,-0.0024837195214302277
2022-09-12,0.006477798358281994
2022-09-13,-0.0020213397158050928
2022-09-14,0.0002720731977672308
2022-09-15,0.010824560519821835
2022-09-16,-0.003612734765471415
2022-09-19,-0.00265060964021846
2022-09-20,-0.004472881899872494
2022-09-21,3.0221828218657265e-05
2022-09-22,0.0045583213289139835
2022-09-23,-0.0036952913865104797
2022-09-26,-0.0018016567189718113
2022-09-27,-0.0056113497489260755
2022-09-28,-0.007042360635789668
2022-09-29,-0.00608130878343105
2022-09-30,0.0030515527471668413
2022-10-03,-0.004189522097424181
2022-10-04,0.004495167951613421
2022-10-06,-0.004336806533370097
2022-10-07,0.0015376070925332552
2022-10-10,-0.0002464609744458057
2022-10-11,-0.004339809664679506
2022-10-12,0.006855321256138858
2022-10-13,-0.00026127986146951
2022-10-14,-0.0038843508829464746
2022-10-17,0.0004475677010455925
2022-10-18,-9.255878768410497e-05
2022-10-19,0.00936987343985396
2022-10-20,-0.004300089160616194
2022-10-21,-0.000255844773859204
2022-10-25,0.002881549383001003
2022-10-27,-0.0008012493365455731
2022-10-28,0.00018898088228502807
2022-10-31,-0.0012204836996475565
2022-11-01,0.0030114783853576466
2022-11-02,-0.0030381192206913044
2022-11-03,-0.0037478653018223618
2022-11-04,5.1322846366330666e-05
2022-11-07,0.01008955377075349
2022-11-09,-0.005167131556084392
2022-11-10,-0.0028191456762896028
2022-11-11,-0.0009628582549721099
2022-11-14,-0.0015687159086249514
2022-11-15,-0.003809856334528461
2022-11-16,-0.0030616031667487498
2022-11-17,-0.000889247345184363
2022-11-18,0.00017593790426984057
2022-11-21,0.004987479563751895
2022-11-22,-0.00252254849470801
2022-11-23,0.0003612754054029832
2022-11-24,-0.0023680789153268655
2022-11-25,0.009965402934286827
2022-11-28,0.009677617565130525
2022-11-29,-0.00166340409562582
2022-11-30,0.0032358349673367037
2022-12-01,0.001848148054380605
2022-12-02,-0.00030324471848852674
2022-12-05,-0.0036349848331636014
2022-12-06,-0.002998767004429692
2022-12-07,-0.001048399409639189
2022-12-08,0.0020429581626619786
2022-12-09,0.0031624170628161696
2022-12-12,0.0028280800985260868
2022-12-13,-0.002724079549187408
2022-12-14,-7.094858254785841e-05
2022-12-15,0.0045917126175816225
2022-12-16,-0.0019978004015788198
2022-12-19,0.00431701226355008
2022-12-20,0.0047464213090651075
2022-12-21,-0.006457301158706907
2022-12-22,-0.012948116775072682
2022-12-23,-0.0037647755948543304
2022-12-26,0.002671452377900785
2022-12-27,-0.005446288852749781
2022-12-28,-0.0017431008684657412
2022-12-29,0.008370162046337892
2022-12-30,-0.005184734914464806
2023-01-02,-0.001422321721984865
2023-01-03,-0.0023396323434901056
2023-01-04,-0.00010308215647825136
2023-01-05,0.016190721649482764
2023-01-06,-0.005407297315120463
2023-01-09,-0.0015810276679837365
2023-01-10,0.0012361760273797984
2023-01-11,-0.002362160535082536
2023-01-12,-0.00012784846377278392
2023-01-13,0.0025419524445193797
2023-01-16,-0.006509672679781864
2023-01-17,-0.0003851288898015781
2023-01-18,0.001803097629261341
2023-01-19,-0.0012357960372479937
2023-01-20,-0.0042972660762422565
2023-01-23,0.0026606441233789635
2023-01-24,0.0009462392133874342
2023-01-25,-0.0015721493233588069
2023-01-27,-0.005490603709114805
2023-01-30,0.006084909321400156
2023-01-31,0.006958408977530528
2023-02-01,0.005357671838769118
2023-02-02,-0.00031497183034234766
2023-02-03,0.005701769987955796
2023-02-06,0.002531543230776423
2023-02-07,0.00027721215298082136
2023-02-08,-0.0024085579389186984
2023-02-09,0.003166970567883398
2023-02-10,0.00019636671231793024
2023-02-13,-0.004082618916974479
2023-02-14,-0.0015265169129984324
2023-02-15,-0.0006378648738954995
2023-02-16,0.0034649051710160528
2023-02-17,-0.003412555782160598
2023-02-20,0.0007598168334888022
2023-02-21,0.0005010983671285274
2023-02-22,-0.0013052386613722211
2023-02-23,7.091947094095552e-05
2023-02-24,0.0030999741668822356
2023-02-27,-0.0041710220013831956
2023-02-28,0.0003904526715585721
2023-03-01,0.0014192737373528441
2023-03-02,-0.002642181774007657
2023-03-03,-0.0009084357649641328
2023-03-06,0.002712546288537121
2023-03-08,0.0023100655025143357
2023-03-09,-0.0040484602204667874
2023-03-10,-0.0008779408481009998
2023-03-13,-0.00294597189136514
2023-03-14,-0.0009016856937614781
2023-03-15,-0.0018559875995556308
2023-03-16,-0.0011902450985403767
2023-03-17,-0.0007109065336911025
2023-03-20,0.005471221070086019
2023-03-21,0.00370059301112291
2023-03-22,-0.0012982929476322846
2023-03-23,-0.0021175466926657283
2023-03-24,-0.002763232218371714
2023-03-27,0.0011532612800173592
2023-03-28,-0.002538329799380845
2023-03-29,-0.0017833965272309182
2023-03-31,0.007729913742354544
2023-04-03,-0.000655304665869938
2023-04-05,-0.00030499273100570434
2023-04-06,-0.0005593239299117592
2023-04-10,0.004884104275626688
2023-04-11,0.001392292269992934
2023-04-12,0.002007169183632751
2023-04-13,-0.0010242799765879385
2023-04-17,-0.0016617420511653158
2023-04-18,0.006248229246771153
2023-04-19,-0.0016843396634340646
2023-04-20,-0.000997199782428737
2023-04-21,-0.004849816997551271
2023-04-24,-0.0003495511560518416
2023-04-25,-0.001971347053368211
2023-04-26,0.0009698483786779732
2023-04-27,0.0065743751553557495
2023-04-28,0.007186594431145776
2023-05-02,-0.0014610885109402894
2023-05-03,0.003908618503801975
2023-05-04,0.009279271634578645
2023-05-05,0.0016320636208064787
2023-05-08,0.004359890978037795
2023-05-09,0.0032889076795243888
2023-05-10,-0.00021560172481305262
2023-05-11,-4.90109588515697e-05
2023-05-12,-0.001166517992805427
2023-05-15,-0.0022523406677511515
2023-05-16,0.00868051286339111
2023-05-17,-3.413069129343249e-05
2023-05-18,0.002072291271509208
2023-05-19,0.0011970103935543541
2023-05-22,-0.00012636203695470805
2023-05-23,0.00517177687476944
2023-05-24,-0.0016006112303901254
2023-05-25,0.0004552829777422218
2023-05-26,0.0013458624412361342
2023-05-29,-0.0014455827535705401
2023-05-30,-0.004628688183288876
2023-05-31,0.0005156093432285846
2023-06-01,-0.0022169499436038853
2023-06-02,0.00010719575894801991
2023-06-05,-0.0004774571993738652
2023-06-06,0.000638538478036077
2023-06-07,0.0027425019606686085
2023-06-08,-0.0008695652173903445
2023-06-09,0.005387244677178993
2023-06-12,-0.0017119726858141338
2023-06-13,8.71987404607033e-05
2023-06-14,-0.003226072087695764
2023-06-15,0.0028817603522253155
2023-06-16,0.0008189174783161945
2023-06-19,-0.00026629353294138625
2023-06-20,-0.0033852501888772535
2023-06-21,0.010885147119569227
2023-06-22,0.0008316308136042672
2023-06-23,-0.0006532243345268585
2023-06-26,0.000778614066960337
2023-06-27,-0.0013639157830011017
2023-06-28,0.009170914686929654
2023-06-30,-0.007171891902194583
2023-07-03,-0.002188708949707019
2023-07-04,-0.0033912817601952083
2023-07-05,0.0012549413314932867
2023-07-06,0.009332774138189892
2023-07-07,0.005607110618646383
2023-07-10,0.009071436374085806
2023-07-11,-0.002315719120216775
2023-07-12,0.0013351008873949688
2023-07-13,-0.0034063283267066202
2023-07-14,-0.011752525658420332
2023-07-17,0.000220050420249418
2023-07-18,0.00568657366002201
2023-07-19,-0.001464727646258157
2023-07-20,-0.004710196694766355
2023-07-21,-0.0030864049841846652
2023-07-24,0.0006431917671452236
2023-07-25,0.00481124382404996
2023-07-26,0.0038047862970380653
2023-07-27,-0.0015836781281194368
2023-07-28,0.000381066700963828
2023-07-31,0.005847145707253976
2023-08-01,-0.0036734597268569535
2023-08-02,-0.0010927975141241664
2023-08-03,0.007696003120259309
2023-08-04,0.004559679406392458
2023-08-07,-0.0019640734319136266
2023-08-08,-0.0019773545820487293
2023-08-09,0.002938887185415018
2023-08-10,-0.0014580824804347747
2023-08-11,-0.005011823003514326
2023-08-14,0.0038724826495748488
2023-08-16,0.0008016901514729113
2023-08-17,-0.005607335714487793
2023-08-18,0.00239774062701259
2023-08-21,0.0027654605791855857
2023-08-22,-0.0030218316731321915
2023-08-23,0.002988434003839968
2023-08-24,-0.0016783427779402116
2023-08-25,-0.005770738295600819
2023-08-28,0.003177603830222697
2023-08-29,0.003356928103029677
2023-08-30,-0.0011230971054300154
2023-08-31,-0.0027872786711755637
2023-09-01,-0.0007011360298645464
2023-09-04,-0.00018962918013731844
2023-09-05,-0.0014367134823457528
2023-09-06,-0.007768465538117497
2023-09-07,0.002024320560494397
2023-09-08,-0.0032667564547100847
2023-09-11,-0.0015956070494221875
2023-09-12,0.002404434525953736
2023-09-13,-0.0011777886300318174
2023-09-14,-0.0039066244847100196
2023-09-15,0.0017516421645289437
2023-09-18,-0.004573207345953345
2023-09-20,0.0009941269297379929
2023-09-21,-0.009097351788375119
2023-09-22,-0.0012552545539464832
2023-09-25,0.0006138017712558064
2023-09-26,-0.0043523982006192785
2023-09-27,-0.000625886264731812
2023-09-28,-0.005607147400456203
2023-09-29,0.0032671377118218548
2023-10-03,-0.0014615007356528764
2023-10-04,0.0014390821308241097
2023-10-05,0.004963338973490439
2023-10-06,0.003499148394149998
2023-10-09,-0.0009629226160370319
2023-10-10,0.0016550972126214702
2023-10-11,0.0007775823022255768
2023-10-12,-0.004691005506832546
2023-10-13,0.0005903590944587034
2023-10-16,-0.0056563016564189494
2023-10-17,0.00572770827918645
2023-10-18,-0.00611929455017135
2023-10-19,-0.0005249369585043073
2023-10-20,-0.0011093276787088602
2023-10-23,-0.0030859799214746353
2023-10-25,-0.00184844705801257
2023-10-26,-0.0028741024602708665
2023-10-27,0.001040036450800974
2023-10-30,0.002953603198006638
2023-10-31,0.0017166281083060841
2023-11-01,-0.0020337714395444184
2023-11-02,-0.0015296706767077284
2023-11-03,-0.0028169292505976218
2023-11-06,0.0071662916670764965
2023-11-07,-0.002130653859780063
2023-11-08,0.02301384183716193
2023-11-09,0.0015810429098903622
2023-11-10,0.002497762120642566
2023-11-13,-0.002553947336839335
2023-11-15,0.006959518320475144
2023-11-16,0.0012379372810313871
2023-11-17,-0.004286846351408302
2023-11-20,0.0038114871991565824
2023-11-21,-0.0006113432835820332
2023-11-22,-0.0012138764235558597
2023-11-23,-0.0011675032178106726
2023-11-24,-0.002725761560534057
2023-11-28,0.0027428187145737137
2023-11-29,-0.0011017911291435478
2023-11-30,0.0019326590607176009
2023-12-01,0.007830598686604517
2023-12-04,0.002013677811549819
2023-12-05,0.003052364160317289
2023-12-06,-0.0013230763415050806
2023-12-07,-0.0006434884645218908
2023-12-08,0.0008569588849116627
2023-12-11,-0.0062301022266590955
2023-12-12,-0.004279403644395385
2023-12-13,-0.0023425137562922416
2023-12-14,0.012549895297743863
2023-12-15,-0.003582482276887289
2023-12-18,-0.002517228768600166
2023-12-19,0.009446764340369729
2023-12-20,-0.005315962509964356
2023-12-21,0.0015032530966061497
2023-12-22,0.0015009967186412343
2023-12-26,-0.002652356862560823
2023-12-27,0.007124944891892193
