,sid,symbol,price,order_id,amount,commission,dt,txn_dollars
2021-01-01 04:36:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.605,6b25f177f5a445cc9676d9c8cfbb2fac,100,,2021-01-01 04:36:00+00:00,-17960.5
2021-01-01 04:41:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.495,55936ad51ec94c768eee5aa39cab9464,-100,,2021-01-01 04:41:00+00:00,17949.5
2021-01-01 05:33:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.555,9e228e83e25f479090d485d9177df59e,100,,2021-01-01 05:33:00+00:00,-17855.5
2021-01-01 05:42:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),177.94500000000002,0401537016cd486e8b9878af36c0a370,-100,,2021-01-01 05:42:00+00:00,17794.500000000004
2021-01-01 05:48:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.255,d127149f0d1a4e30b37fb383d8e0658f,100,,2021-01-01 05:48:00+00:00,-17825.5
2021-01-01 05:59:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.04500000000002,a4a9404b96be4af1bc94586fea7ead54,-100,,2021-01-01 05:59:00+00:00,17804.5
2021-01-01 06:01:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.205,cb0e571c622843b38cdbe53f178941d1,100,,2021-01-01 06:01:00+00:00,-17820.5
2021-01-01 06:35:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.19500000000002,ebbd715b10e2470080f161b8d99cf4d1,-100,,2021-01-01 06:35:00+00:00,17819.500000000004
2021-01-01 06:42:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.405,a8a79ef1d5cd44c7b6178f8c89254414,100,,2021-01-01 06:42:00+00:00,-17840.5
2021-01-01 07:23:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.745,02ccaf46a5754012a7248082664ff984,-100,,2021-01-01 07:23:00+00:00,17874.5
2021-01-01 07:50:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.305,86f98d4d86dd4aeb9614e862c3cff580,100,,2021-01-01 07:50:00+00:00,-17930.5
2021-01-01 08:13:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.79500000000002,7de8308bf18f4061a06ef52a42e172bf,-100,,2021-01-01 08:13:00+00:00,17879.5
2021-01-01 08:29:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.155,652af1b77f634d9fb67f1b4ace397316,100,,2021-01-01 08:29:00+00:00,-17915.5
2021-01-01 09:33:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.745,62ed761bacfb458b8c5fe6a00b231503,-100,,2021-01-01 09:33:00+00:00,17974.5
2021-01-04 03:46:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),181.005,0470e76327a94b2b9ff59a5f0cb0474f,100,,2021-01-04 03:46:00+00:00,-18100.5
2021-01-04 05:25:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),183.94500000000002,3dc471f6247447cd99316f4ca058fe44,-100,,2021-01-04 05:25:00+00:00,18394.500000000004
2021-01-04 05:57:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.005,0021c3bb99f143dca900beb3d9411017,100,,2021-01-04 05:57:00+00:00,-18400.5
2021-01-04 06:51:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.19500000000002,b2d8be61182e4db985947c2398966e00,-100,,2021-01-04 06:51:00+00:00,18419.500000000004
2021-01-04 07:20:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.405,46dda5219b904f0c9207e2f6f29f6178,100,,2021-01-04 07:20:00+00:00,-18440.5
2021-01-04 07:56:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.44500000000002,2d7d8756791f483388f65d522145b24c,-100,,2021-01-04 07:56:00+00:00,18444.500000000004
