index,Equity(8 [APOLLOTYRE]),cash
2021-01-05 00:00:00+00:00,18690.0,81766.5
2021-01-06 00:00:00+00:00,18625.0,81821.5
2021-01-13 00:00:00+00:00,19185.0,81464.5
2021-01-15 00:00:00+00:00,18350.0,81297.5
2021-01-20 00:00:00+00:00,20380.0,81146.5
2021-01-21 00:00:00+00:00,21960.0,81092.5
2021-01-22 00:00:00+00:00,23300.0,81943.5
2021-01-28 00:00:00+00:00,20420.0,84595.5
2021-02-01 00:00:00+00:00,21600.0,84304.5
2021-02-02 00:00:00+00:00,22800.0,84205.5
2021-02-03 00:00:00+00:00,22900.0,83925.5
2021-02-04 00:00:00+00:00,24310.0,84336.5
2021-02-05 00:00:00+00:00,24190.0,84737.5
2021-02-10 00:00:00+00:00,24900.0,84727.5
2021-02-12 00:00:00+00:00,23945.0,85193.5
2021-02-16 00:00:00+00:00,23640.0,84995.5
2021-02-19 00:00:00+00:00,24000.0,85118.5
2021-02-23 00:00:00+00:00,23070.0,85148.5
2021-02-25 00:00:00+00:00,24165.0,75820.5
2021-03-01 00:00:00+00:00,24500.0,75493.5
2021-03-02 00:00:00+00:00,24650.0,74965.5
2021-03-04 00:00:00+00:00,26000.0,74868.5
2021-03-05 00:00:00+00:00,24385.0,75780.5
2021-03-09 00:00:00+00:00,23280.0,76226.5
2021-03-10 00:00:00+00:00,23850.0,75736.5
2021-03-12 00:00:00+00:00,24020.0,75598.5
2021-03-16 00:00:00+00:00,23300.0,75740.5
2021-03-18 00:00:00+00:00,21760.0,76643.5
2021-03-19 00:00:00+00:00,22600.0,75866.5
2021-03-22 00:00:00+00:00,22560.0,75607.5
2021-03-26 00:00:00+00:00,22530.0,75483.5
2021-04-01 00:00:00+00:00,23645.0,75669.5
2021-04-08 00:00:00+00:00,22480.0,76577.5
2021-04-13 00:00:00+00:00,21600.0,77874.5
2021-04-15 00:00:00+00:00,20800.0,78171.5
2021-04-20 00:00:00+00:00,20215.0,78581.5
2021-04-23 00:00:00+00:00,20205.0,78239.5
2021-04-27 00:00:00+00:00,20560.0,78011.5
2021-04-29 00:00:00+00:00,20820.0,77561.5
2021-05-04 00:00:00+00:00,21750.0,77059.5
2021-05-06 00:00:00+00:00,21325.0,77349.5
2021-05-11 00:00:00+00:00,22400.0,76530.5
2021-05-14 00:00:00+00:00,20830.0,77227.5
2021-05-18 00:00:00+00:00,21500.0,76079.5
2021-05-20 00:00:00+00:00,21390.0,75711.5
2021-05-25 00:00:00+00:00,21870.0,75160.5
2021-05-26 00:00:00+00:00,22235.0,74922.5
2021-05-27 00:00:00+00:00,22400.0,74920.5
2021-05-28 00:00:00+00:00,22375.0,74809.5
2021-05-31 00:00:00+00:00,22275.0,74674.5
2021-06-01 00:00:00+00:00,22180.0,74876.5
2021-06-02 00:00:00+00:00,23135.0,74386.5
2021-06-03 00:00:00+00:00,23030.0,74270.5
2021-06-07 00:00:00+00:00,23790.0,73820.5
2021-06-09 00:00:00+00:00,23580.0,74139.5
2021-06-10 00:00:00+00:00,24130.0,73897.5
2021-06-11 00:00:00+00:00,23860.0,73779.5
2021-06-14 00:00:00+00:00,23790.0,73388.5
2021-06-18 00:00:00+00:00,22800.0,74268.5
2021-06-21 00:00:00+00:00,22650.0,74095.5
2021-06-23 00:00:00+00:00,22435.0,74134.5
2021-06-24 00:00:00+00:00,21910.0,74374.5
2021-06-25 00:00:00+00:00,22100.0,74058.5
2021-06-28 00:00:00+00:00,23025.0,73915.5
2021-06-29 00:00:00+00:00,22625.0,74215.5
2021-06-30 00:00:00+00:00,22500.0,74220.5
2021-07-01 00:00:00+00:00,22820.0,74102.5
2021-07-02 00:00:00+00:00,22735.0,74177.5
2021-07-05 00:00:00+00:00,22870.0,73951.5
2021-07-06 00:00:00+00:00,23040.0,73761.5
2021-07-07 00:00:00+00:00,23125.0,73633.5
2021-07-08 00:00:00+00:00,22675.0,74026.5
2021-07-13 00:00:00+00:00,23650.0,72921.5
2021-07-14 00:00:00+00:00,24000.0,72442.5
2021-07-16 00:00:00+00:00,23065.0,72995.5
2021-07-19 00:00:00+00:00,22565.0,72902.5
2021-07-22 00:00:00+00:00,22675.0,72691.5
2021-07-26 00:00:00+00:00,22250.0,72944.5
2021-07-28 00:00:00+00:00,22095.0,73281.5
2021-08-02 00:00:00+00:00,22860.0,72658.5
2021-08-03 00:00:00+00:00,22895.0,72586.5
2021-08-05 00:00:00+00:00,22215.0,72511.5
2021-08-06 00:00:00+00:00,22215.0,72511.5
2021-08-09 00:00:00+00:00,22290.0,78658.5
2021-08-10 00:00:00+00:00,21485.0,78944.5
2021-08-12 00:00:00+00:00,22425.0,78999.5
2021-08-13 00:00:00+00:00,22490.0,78762.5
2021-08-16 00:00:00+00:00,22585.0,78799.5
2021-08-17 00:00:00+00:00,22205.0,78870.5
2021-08-24 00:00:00+00:00,20865.0,79862.5
2021-08-25 00:00:00+00:00,20785.0,79688.5
2021-09-02 00:00:00+00:00,22170.0,76794.5
2021-09-03 00:00:00+00:00,22270.0,76668.5
2021-09-06 00:00:00+00:00,22150.0,76789.5
2021-09-08 00:00:00+00:00,21495.0,76955.5
2021-09-09 00:00:00+00:00,-923640.0,1022280.5
2021-09-13 00:00:00+00:00,21515.0,76504.5
2021-09-14 00:00:00+00:00,22115.0,76562.5
2021-09-15 00:00:00+00:00,22210.0,76368.5
2021-09-17 00:00:00+00:00,22350.0,76420.5
2021-09-21 00:00:00+00:00,21955.0,76859.5
2021-09-22 00:00:00+00:00,23235.0,76419.5
2021-09-23 00:00:00+00:00,23670.0,76427.5
2021-09-24 00:00:00+00:00,22835.0,76912.5
2021-09-27 00:00:00+00:00,23200.0,76925.5
2021-10-04 00:00:00+00:00,22810.0,76695.5
2021-10-07 00:00:00+00:00,22820.0,76810.5
2021-10-08 00:00:00+00:00,23420.0,76457.5
2021-10-20 00:00:00+00:00,22615.0,75916.5
2021-10-26 00:00:00+00:00,21940.0,75916.5
2021-11-01 00:00:00+00:00,21995.0,75685.5
2021-11-03 00:00:00+00:00,22095.0,75512.5
2021-11-08 00:00:00+00:00,22895.0,75282.5
2021-11-09 00:00:00+00:00,23100.0,75172.5
2021-11-10 00:00:00+00:00,23280.0,74752.5
2021-11-11 00:00:00+00:00,23135.0,74825.5
2021-11-15 00:00:00+00:00,23175.0,74676.5
2021-11-22 00:00:00+00:00,21760.0,75991.5
2021-11-23 00:00:00+00:00,22195.0,75386.5
2021-11-25 00:00:00+00:00,22310.0,75349.5
2021-12-01 00:00:00+00:00,20840.0,75862.5
2021-12-02 00:00:00+00:00,21010.0,75630.5
2021-12-09 00:00:00+00:00,21580.0,75432.5
2021-12-10 00:00:00+00:00,21695.0,75468.5
2021-12-14 00:00:00+00:00,21660.0,75441.5
2021-12-16 00:00:00+00:00,21760.0,75374.5
2021-12-20 00:00:00+00:00,20175.0,76436.5
2021-12-21 00:00:00+00:00,20290.0,76219.5
2021-12-22 00:00:00+00:00,21000.0,76044.5
2021-12-27 00:00:00+00:00,20835.0,76357.5
2021-12-28 00:00:00+00:00,21605.0,76082.5
2021-12-29 00:00:00+00:00,21730.0,75887.5
2021-12-30 00:00:00+00:00,21720.0,75730.5
2021-12-31 00:00:00+00:00,21880.0,75723.5
2022-01-04 00:00:00+00:00,22570.0,75301.5
2022-01-05 00:00:00+00:00,22695.0,75030.5
2022-01-06 00:00:00+00:00,22850.0,74797.5
2022-01-07 00:00:00+00:00,23320.0,74724.5
2022-01-11 00:00:00+00:00,23135.0,74685.5
2022-01-14 00:00:00+00:00,23165.0,74478.5
2022-01-17 00:00:00+00:00,24325.0,74334.5
2022-01-20 00:00:00+00:00,22625.0,75101.5
2022-01-21 00:00:00+00:00,22400.0,75404.5
2022-01-24 00:00:00+00:00,21160.0,76215.5
2022-01-27 00:00:00+00:00,21550.0,76243.5
2022-02-02 00:00:00+00:00,22485.0,75088.5
2022-02-04 00:00:00+00:00,22415.0,74735.5
2022-02-08 00:00:00+00:00,22450.0,74764.5
2022-02-09 00:00:00+00:00,22780.0,74564.5
