index,Equity(8 [APOLLOTYRE]),cash
2021-01-05 00:00:00+00:00,18690.0,81831.5
2021-01-06 00:00:00+00:00,18625.0,81982.5
2021-01-13 00:00:00+00:00,19185.0,81833.5
2021-01-20 00:00:00+00:00,20380.0,81719.5
2021-01-21 00:00:00+00:00,21960.0,81259.5
2021-01-22 00:00:00+00:00,23300.0,81902.5
2021-01-28 00:00:00+00:00,20420.0,83909.5
2021-02-01 00:00:00+00:00,21600.0,83899.5
2021-02-02 00:00:00+00:00,22800.0,83467.5
2021-02-03 00:00:00+00:00,22900.0,82957.5
2021-02-04 00:00:00+00:00,24310.0,82950.5
2021-02-05 00:00:00+00:00,24190.0,83313.5
2021-02-10 00:00:00+00:00,24900.0,83190.5
2021-02-12 00:00:00+00:00,23945.0,83708.5
2021-02-16 00:00:00+00:00,23640.0,83869.5
2021-02-19 00:00:00+00:00,24000.0,83737.5
2021-02-23 00:00:00+00:00,23070.0,83105.5
2021-02-25 00:00:00+00:00,24165.0,73314.5
2021-02-26 00:00:00+00:00,23150.0,73714.5
2021-03-01 00:00:00+00:00,24500.0,73417.5
2021-03-02 00:00:00+00:00,24650.0,72969.5
2021-03-04 00:00:00+00:00,26000.0,73048.5
2021-03-05 00:00:00+00:00,24385.0,73948.5
2021-03-09 00:00:00+00:00,23280.0,74463.5
2021-03-10 00:00:00+00:00,23850.0,74284.5
2021-03-12 00:00:00+00:00,24020.0,74304.5
2021-03-16 00:00:00+00:00,23300.0,74740.5
2021-03-18 00:00:00+00:00,21760.0,75488.5
2021-03-19 00:00:00+00:00,22600.0,74851.5
2021-03-22 00:00:00+00:00,22560.0,74968.5
2021-03-26 00:00:00+00:00,22530.0,74967.5
2021-03-30 00:00:00+00:00,22205.0,75431.5
2021-04-01 00:00:00+00:00,23645.0,74898.5
2021-04-05 00:00:00+00:00,22240.0,75618.5
2021-04-08 00:00:00+00:00,22480.0,75650.5
2021-04-13 00:00:00+00:00,21600.0,76534.5
2021-04-15 00:00:00+00:00,20800.0,76764.5
2021-04-20 00:00:00+00:00,20215.0,77166.5
2021-04-23 00:00:00+00:00,20205.0,76962.5
2021-04-27 00:00:00+00:00,20560.0,76694.5
2021-04-29 00:00:00+00:00,20820.0,76006.5
2021-05-03 00:00:00+00:00,22195.0,75446.5
2021-05-04 00:00:00+00:00,21750.0,75779.5
2021-05-06 00:00:00+00:00,21325.0,76279.5
2021-05-11 00:00:00+00:00,22400.0,75659.5
2021-05-12 00:00:00+00:00,22215.0,75709.5
2021-05-14 00:00:00+00:00,20830.0,76394.5
2021-05-18 00:00:00+00:00,21500.0,75661.5
2021-05-20 00:00:00+00:00,21390.0,75197.5
2021-05-21 00:00:00+00:00,21740.0,75039.5
2021-05-25 00:00:00+00:00,21870.0,74762.5
2021-05-26 00:00:00+00:00,22235.0,74601.5
2021-05-27 00:00:00+00:00,22400.0,74704.5
2021-05-28 00:00:00+00:00,22375.0,74515.5
2021-05-31 00:00:00+00:00,22275.0,74442.5
2021-06-01 00:00:00+00:00,22180.0,74587.5
2021-06-02 00:00:00+00:00,23135.0,73957.5
2021-06-03 00:00:00+00:00,23030.0,73661.5
2021-06-07 00:00:00+00:00,23790.0,73034.5
2021-06-08 00:00:00+00:00,23610.0,73191.5
2021-06-09 00:00:00+00:00,23580.0,73313.5
2021-06-10 00:00:00+00:00,24130.0,72903.5
2021-06-11 00:00:00+00:00,23860.0,72923.5
2021-06-14 00:00:00+00:00,23790.0,72554.5
2021-06-17 00:00:00+00:00,22980.0,72607.5
2021-06-18 00:00:00+00:00,22800.0,73142.5
2021-06-21 00:00:00+00:00,22650.0,73114.5
2021-06-23 00:00:00+00:00,22435.0,73365.5
2021-06-24 00:00:00+00:00,21910.0,73677.5
2021-06-25 00:00:00+00:00,22100.0,73644.5
2021-06-28 00:00:00+00:00,23025.0,73457.5
2021-06-29 00:00:00+00:00,22625.0,73775.5
2021-06-30 00:00:00+00:00,22500.0,73858.5
2021-07-01 00:00:00+00:00,22820.0,73755.5
2021-07-02 00:00:00+00:00,22735.0,73767.5
2021-07-05 00:00:00+00:00,22870.0,73662.5
2021-07-06 00:00:00+00:00,23040.0,73672.5
2021-07-07 00:00:00+00:00,23125.0,73612.5
2021-07-08 00:00:00+00:00,22675.0,73975.5
2021-07-13 00:00:00+00:00,23650.0,72798.5
2021-07-14 00:00:00+00:00,24000.0,72618.5
2021-07-16 00:00:00+00:00,23065.0,72935.5
2021-07-19 00:00:00+00:00,22565.0,72825.5
2021-07-22 00:00:00+00:00,22675.0,72760.5
2021-07-28 00:00:00+00:00,22095.0,73090.5
2021-07-29 00:00:00+00:00,21635.0,72982.5
2021-08-02 00:00:00+00:00,22860.0,72573.5
2021-08-03 00:00:00+00:00,22895.0,72426.5
2021-08-04 00:00:00+00:00,22545.0,72682.5
2021-08-05 00:00:00+00:00,22215.0,72741.5
2021-08-06 00:00:00+00:00,22215.0,72741.5
2021-08-10 00:00:00+00:00,21485.0,77398.5
2021-08-12 00:00:00+00:00,22425.0,76612.5
2021-08-13 00:00:00+00:00,22490.0,76537.5
2021-08-16 00:00:00+00:00,22585.0,76147.5
2021-08-17 00:00:00+00:00,22205.0,76308.5
2021-08-24 00:00:00+00:00,20865.0,77362.5
2021-08-25 00:00:00+00:00,20785.0,77541.5
2021-08-26 00:00:00+00:00,20845.0,77319.5
2021-08-27 00:00:00+00:00,-20875.0,118887.5
2021-09-02 00:00:00+00:00,22170.0,74863.5
2021-09-06 00:00:00+00:00,22150.0,74463.5
2021-09-07 00:00:00+00:00,21770.0,74538.5
2021-09-08 00:00:00+00:00,21495.0,74171.5
2021-09-09 00:00:00+00:00,-537000.0,632910.5
2021-09-13 00:00:00+00:00,21515.0,74026.5
2021-09-14 00:00:00+00:00,22115.0,74012.5
2021-09-15 00:00:00+00:00,22210.0,74007.5
2021-09-17 00:00:00+00:00,22350.0,74020.5
2021-09-21 00:00:00+00:00,21955.0,74582.5
2021-09-23 00:00:00+00:00,23670.0,73743.5
2021-09-24 00:00:00+00:00,22835.0,73898.5
2021-09-27 00:00:00+00:00,23200.0,73665.5
2021-09-30 00:00:00+00:00,22580.0,74130.5
2021-10-04 00:00:00+00:00,22810.0,73325.5
2021-10-07 00:00:00+00:00,22820.0,73485.5
2021-10-08 00:00:00+00:00,23420.0,73267.5
2021-10-13 00:00:00+00:00,23920.0,72750.5
2021-10-20 00:00:00+00:00,22615.0,73837.5
2021-10-26 00:00:00+00:00,21940.0,73621.5
2021-11-01 00:00:00+00:00,21995.0,73381.5
2021-11-02 00:00:00+00:00,22345.0,73246.5
2021-11-03 00:00:00+00:00,22095.0,73343.5
2021-11-08 00:00:00+00:00,22895.0,73095.5
2021-11-09 00:00:00+00:00,23100.0,73115.5
2021-11-10 00:00:00+00:00,23280.0,72794.5
2021-11-11 00:00:00+00:00,23135.0,72929.5
2021-11-15 00:00:00+00:00,23175.0,72766.5
2021-11-22 00:00:00+00:00,21760.0,74225.5
2021-11-25 00:00:00+00:00,22310.0,73179.5
2021-12-01 00:00:00+00:00,20840.0,74079.5
2021-12-02 00:00:00+00:00,21010.0,73942.5
2021-12-09 00:00:00+00:00,21580.0,73461.5
2021-12-10 00:00:00+00:00,21695.0,73522.5
2021-12-14 00:00:00+00:00,21660.0,73541.5
