,sid,symbol,price,order_id,amount,commission,dt,txn_dollars
2021-01-01 04:26:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),180.055,306f465ab5d442349bd51d1a1160f2e0,100,,2021-01-01 04:26:00+00:00,-18005.5
2021-01-01 04:47:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.095,34865d9326ef4825ab1ff20895dcb219,-100,,2021-01-01 04:47:00+00:00,17909.5
2021-01-01 05:35:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.455,d9a15d2233b24760866e1dc487744f69,100,,2021-01-01 05:35:00+00:00,-17845.5
2021-01-01 05:55:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.145,092cbbfd8d094d048ff176d800f09dc3,-100,,2021-01-01 05:55:00+00:00,17814.5
2021-01-01 06:13:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.405,5323a86677d34799b56aeaa0530e6ea9,100,,2021-01-01 06:13:00+00:00,-17840.5
2021-01-01 06:39:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.245,fc6a3509bce145219a212eeceb8f3ad9,-100,,2021-01-01 06:39:00+00:00,17824.5
2021-01-01 06:48:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.805,f15bdbd5a7fa4a228079437d23b847c4,100,,2021-01-01 06:48:00+00:00,-17880.5
2021-01-01 07:22:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.745,7dbf307b9dc24e958f69a8a5f7de6f61,-100,,2021-01-01 07:22:00+00:00,17874.5
2021-01-01 07:49:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.305,e18bb53537204c5bbbbbf68a13a46dad,100,,2021-01-01 07:49:00+00:00,-17930.5
2021-01-01 08:17:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.845,a6b0f2df296540a599feca9b84b90e41,-100,,2021-01-01 08:17:00+00:00,17884.5
2021-01-01 08:37:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.205,d1ef095a234846c793fb53d1237d50f7,100,,2021-01-01 08:37:00+00:00,-17920.5
2021-01-01 09:32:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.845,515e7d0b78804ddc859703a96b4110a4,-100,,2021-01-01 09:32:00+00:00,17984.5
2021-01-04 03:47:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),181.605,cec18000d1f8426799b4a8c23777dc74,100,,2021-01-04 03:47:00+00:00,-18160.5
2021-01-04 05:24:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),183.69500000000002,4f506cf28d4b43cba47242815bec2ca9,-100,,2021-01-04 05:24:00+00:00,18369.500000000004
2021-01-04 05:59:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.005,3bde2a2b00fb418f9c0dc10b802ff021,100,,2021-01-04 05:59:00+00:00,-18400.5
2021-01-04 06:39:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.54500000000002,3b913cd035294c81adef88fa6ca92258,-100,,2021-01-04 06:39:00+00:00,18454.5
2021-01-04 06:53:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.255,4850619848c04eeeae9408b7f7b1eff9,100,,2021-01-04 06:53:00+00:00,-18425.5
2021-01-04 07:02:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.19500000000002,f06bc6c23dfa450c965de5a3999a752c,-100,,2021-01-04 07:02:00+00:00,18419.500000000004
2021-01-04 07:23:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),184.705,9892a48d442242f78a9150ae9aac51c5,100,,2021-01-04 07:23:00+00:00,-18470.5
