index,Equity(8 [APOLLOTYRE]),cash
2021-01-05 00:00:00+00:00,18690.0,82025.5
2021-01-06 00:00:00+00:00,18625.0,82070.5
2021-01-15 00:00:00+00:00,18350.0,81577.5
2021-01-20 00:00:00+00:00,20380.0,81176.5
2021-01-21 00:00:00+00:00,21960.0,80951.5
2021-01-28 00:00:00+00:00,20420.0,83464.5
2021-02-01 00:00:00+00:00,21600.0,83217.5
2021-02-02 00:00:00+00:00,22800.0,83027.5
2021-02-03 00:00:00+00:00,22900.0,82446.5
2021-02-05 00:00:00+00:00,24190.0,83049.5
2021-02-10 00:00:00+00:00,24900.0,83239.5
2021-02-12 00:00:00+00:00,23945.0,83682.5
2021-02-16 00:00:00+00:00,23640.0,83500.5
2021-02-19 00:00:00+00:00,24000.0,83625.5
2021-02-23 00:00:00+00:00,23070.0,83380.5
2021-02-25 00:00:00+00:00,24165.0,73643.5
2021-03-01 00:00:00+00:00,24500.0,73531.5
2021-03-02 00:00:00+00:00,24650.0,73143.5
2021-03-04 00:00:00+00:00,26000.0,72870.5
2021-03-05 00:00:00+00:00,24385.0,73982.5
2021-03-09 00:00:00+00:00,23280.0,73913.5
2021-03-10 00:00:00+00:00,23850.0,73380.5
2021-03-12 00:00:00+00:00,24020.0,73459.5
2021-03-16 00:00:00+00:00,23300.0,73234.5
2021-03-18 00:00:00+00:00,21760.0,74022.5
2021-03-19 00:00:00+00:00,22600.0,73377.5
2021-03-22 00:00:00+00:00,22560.0,73128.5
2021-03-26 00:00:00+00:00,22530.0,72870.5
2021-04-01 00:00:00+00:00,23645.0,72912.5
2021-04-05 00:00:00+00:00,22240.0,73771.5
2021-04-08 00:00:00+00:00,22480.0,73619.5
2021-04-12 00:00:00+00:00,20420.0,75199.5
2021-04-13 00:00:00+00:00,21600.0,74918.5
2021-04-15 00:00:00+00:00,20800.0,75299.5
2021-04-20 00:00:00+00:00,20215.0,75778.5
2021-04-23 00:00:00+00:00,20205.0,75391.5
2021-04-27 00:00:00+00:00,20560.0,75290.5
2021-04-29 00:00:00+00:00,20820.0,74815.5
2021-05-04 00:00:00+00:00,21750.0,74880.5
2021-05-06 00:00:00+00:00,21325.0,75063.5
2021-05-11 00:00:00+00:00,22400.0,74260.5
2021-05-12 00:00:00+00:00,22215.0,73946.5
2021-05-14 00:00:00+00:00,20830.0,74611.5
2021-05-18 00:00:00+00:00,21500.0,73514.5
2021-05-20 00:00:00+00:00,21390.0,73217.5
2021-05-21 00:00:00+00:00,21740.0,73103.5
2021-05-25 00:00:00+00:00,21870.0,72325.5
2021-05-27 00:00:00+00:00,22400.0,72309.5
2021-05-28 00:00:00+00:00,22375.0,72106.5
2021-05-31 00:00:00+00:00,22275.0,72003.5
2021-06-01 00:00:00+00:00,22180.0,72183.5
2021-06-02 00:00:00+00:00,23135.0,71753.5
2021-06-07 00:00:00+00:00,23790.0,71101.5
2021-06-09 00:00:00+00:00,23580.0,71326.5
2021-06-10 00:00:00+00:00,24130.0,71035.5
2021-06-11 00:00:00+00:00,23860.0,70992.5
2021-06-14 00:00:00+00:00,23790.0,70670.5
2021-06-18 00:00:00+00:00,22800.0,71507.5
2021-06-21 00:00:00+00:00,22650.0,71282.5
2021-06-23 00:00:00+00:00,22435.0,71211.5
2021-06-24 00:00:00+00:00,21910.0,71303.5
2021-06-25 00:00:00+00:00,22100.0,71106.5
2021-06-28 00:00:00+00:00,23025.0,70980.5
2021-06-29 00:00:00+00:00,22625.0,71495.5
2021-06-30 00:00:00+00:00,22500.0,71535.5
2021-07-01 00:00:00+00:00,22820.0,71407.5
2021-07-02 00:00:00+00:00,22735.0,71572.5
2021-07-05 00:00:00+00:00,22870.0,71306.5
2021-07-06 00:00:00+00:00,23040.0,71251.5
2021-07-07 00:00:00+00:00,23125.0,71052.5
2021-07-08 00:00:00+00:00,22675.0,71312.5
2021-07-13 00:00:00+00:00,23650.0,70242.5
2021-07-14 00:00:00+00:00,24000.0,69835.5
2021-07-19 00:00:00+00:00,22565.0,70606.5
2021-07-22 00:00:00+00:00,22675.0,70359.5
2021-07-26 00:00:00+00:00,22250.0,70492.5
2021-07-28 00:00:00+00:00,22095.0,70862.5
2021-08-02 00:00:00+00:00,22860.0,70297.5
2021-08-03 00:00:00+00:00,22895.0,70167.5
2021-08-04 00:00:00+00:00,22545.0,70470.5
2021-08-09 00:00:00+00:00,22290.0,70485.50000000003
2021-08-10 00:00:00+00:00,21485.0,70798.50000000003
2021-08-12 00:00:00+00:00,22425.0,70695.50000000003
2021-08-13 00:00:00+00:00,22490.0,70656.50000000003
2021-08-16 00:00:00+00:00,22585.0,69866.50000000003
2021-08-17 00:00:00+00:00,22205.0,69873.50000000003
2021-08-24 00:00:00+00:00,20865.0,70437.50000000003
2021-08-25 00:00:00+00:00,20785.0,70451.50000000003
2021-08-26 00:00:00+00:00,-20845.0,112124.50000000003
2021-09-02 00:00:00+00:00,22170.0,68929.50000000006
2021-09-06 00:00:00+00:00,22150.0,69017.50000000006
2021-09-08 00:00:00+00:00,21495.0,69292.50000000006
2021-09-09 00:00:00+00:00,-708840.0,799956.5
2021-09-13 00:00:00+00:00,21515.0,69070.5
2021-09-14 00:00:00+00:00,22115.0,69113.5
2021-09-15 00:00:00+00:00,22210.0,68994.5
2021-09-17 00:00:00+00:00,22350.0,69010.5
2021-09-21 00:00:00+00:00,21955.0,69040.5
2021-09-22 00:00:00+00:00,23235.0,68795.5
2021-09-23 00:00:00+00:00,23670.0,68876.5
2021-09-24 00:00:00+00:00,22835.0,69411.5
2021-10-04 00:00:00+00:00,22810.0,69072.5
2021-10-07 00:00:00+00:00,22820.0,69300.5
2021-10-08 00:00:00+00:00,23420.0,68982.5
2021-10-12 00:00:00+00:00,23900.0,68403.5
2021-10-13 00:00:00+00:00,23920.0,68585.5
2021-10-20 00:00:00+00:00,22615.0,68495.5
2021-10-26 00:00:00+00:00,21940.0,68389.5
2021-11-01 00:00:00+00:00,21995.0,68530.5
2021-11-03 00:00:00+00:00,22095.0,68394.5
2021-11-09 00:00:00+00:00,23100.0,68001.5
2021-11-11 00:00:00+00:00,23135.0,67649.5
2021-11-22 00:00:00+00:00,21760.0,68818.5
2021-11-23 00:00:00+00:00,22195.0,68157.5
2021-11-25 00:00:00+00:00,22310.0,68144.5
2021-12-01 00:00:00+00:00,20840.0,68850.5
2021-12-02 00:00:00+00:00,21010.0,68825.5
2021-12-07 00:00:00+00:00,20930.0,68978.5
2021-12-08 00:00:00+00:00,21565.0,68932.5
2021-12-09 00:00:00+00:00,21580.0,69075.5
2021-12-10 00:00:00+00:00,21695.0,69028.5
2021-12-13 00:00:00+00:00,21950.0,68763.5
2021-12-14 00:00:00+00:00,21660.0,68738.5
2021-12-16 00:00:00+00:00,21760.0,68703.5
2021-12-17 00:00:00+00:00,21335.0,68842.5
2021-12-21 00:00:00+00:00,20290.0,68756.5
2021-12-22 00:00:00+00:00,21000.0,68651.5
2021-12-24 00:00:00+00:00,20695.0,69086.5
2021-12-27 00:00:00+00:00,20835.0,68748.5
2021-12-28 00:00:00+00:00,21605.0,68518.5
2021-12-29 00:00:00+00:00,21730.0,68435.5
2021-12-30 00:00:00+00:00,21720.0,68371.5
2021-12-31 00:00:00+00:00,21880.0,68405.5
2022-01-04 00:00:00+00:00,22570.0,68042.5
2022-01-05 00:00:00+00:00,22695.0,67698.5
2022-01-06 00:00:00+00:00,22850.0,67683.5
2022-01-07 00:00:00+00:00,23320.0,67579.5
2022-01-11 00:00:00+00:00,23135.0,67611.5
2022-01-14 00:00:00+00:00,23165.0,67249.5
2022-01-17 00:00:00+00:00,24325.0,67109.5
2022-01-20 00:00:00+00:00,22625.0,68055.5
2022-01-21 00:00:00+00:00,22400.0,68408.5
2022-01-24 00:00:00+00:00,21160.0,69239.5
2022-01-27 00:00:00+00:00,21550.0,69214.5
2022-02-04 00:00:00+00:00,22415.0,68063.5
2022-02-09 00:00:00+00:00,22780.0,67451.5
