,sid,symbol,price,order_id,amount,commission,dt,txn_dollars
2021-01-01 04:26:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),180.055,84a92fd0bc904093b71c1865903558f8,100,,2021-01-01 04:26:00+00:00,-18005.5
2021-01-01 04:42:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),179.54500000000002,1dd9ee7822804229861cde92f39093a2,-100,,2021-01-01 04:42:00+00:00,17954.5
2021-01-01 05:30:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.355,a7d170a48e3f40fc993d60597076a3ea,100,,2021-01-01 05:30:00+00:00,-17835.5
2021-01-01 05:46:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.29500000000002,5398f0c1332e47a6b91e1167bd70fb50,-100,,2021-01-01 05:46:00+00:00,17829.5
2021-01-01 05:47:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.305,1dbe7a84a88c469fb403f517621fd2cc,100,,2021-01-01 05:47:00+00:00,-17830.5
2021-01-01 05:57:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),177.995,b6c2ee19b24a49bc88e889087efc0e61,-100,,2021-01-01 05:57:00+00:00,17799.5
2021-01-01 06:08:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.255,90cdf63ef5234a4a9fd4064b807ee36a,100,,2021-01-01 06:08:00+00:00,-17825.5
2021-01-01 06:35:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.19500000000002,624ccd25a8914dd99b410a55fc7c6091,-100,,2021-01-01 06:35:00+00:00,17819.500000000004
2021-01-01 06:45:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.705,21b4ab50d6894d88b8bd85dd55d10441,100,,2021-01-01 06:45:00+00:00,-17870.5
2021-01-01 07:21:00+00:00,Equity(8 [APOLLOTYRE]),Equity(8 [APOLLOTYRE]),178.745,d5a45c062f5040c6989a5da05c052b74,-100,,2021-01-01 07:21:00+00:00,17874.5
