index,Equity(8 [APOLLOTYRE]),cash
2021-01-05 00:00:00+00:00,18690.0,81819.5
2021-01-06 00:00:00+00:00,18625.0,81922.5
2021-01-13 00:00:00+00:00,19185.0,81936.5
2021-01-15 00:00:00+00:00,18350.0,81748.5
2021-01-20 00:00:00+00:00,20380.0,81527.5
2021-01-21 00:00:00+00:00,21960.0,81433.5
2021-01-22 00:00:00+00:00,23300.0,82089.5
2021-01-28 00:00:00+00:00,20420.0,84404.5
2021-02-01 00:00:00+00:00,21600.0,83963.5
2021-02-02 00:00:00+00:00,22800.0,83416.5
2021-02-03 00:00:00+00:00,22900.0,82946.5
2021-02-04 00:00:00+00:00,24310.0,83142.5
2021-02-05 00:00:00+00:00,24190.0,83393.5
2021-02-10 00:00:00+00:00,24900.0,83306.5
2021-02-12 00:00:00+00:00,23945.0,83800.5
2021-02-16 00:00:00+00:00,23640.0,83794.5
2021-02-19 00:00:00+00:00,24000.0,83965.5
2021-02-23 00:00:00+00:00,23070.0,84427.5
2021-02-25 00:00:00+00:00,24165.0,75118.5
2021-03-01 00:00:00+00:00,24500.0,74845.5
2021-03-02 00:00:00+00:00,24650.0,74362.5
2021-03-04 00:00:00+00:00,26000.0,74305.5
2021-03-05 00:00:00+00:00,24385.0,75520.5
2021-03-09 00:00:00+00:00,23280.0,76067.5
2021-03-10 00:00:00+00:00,23850.0,75795.5
2021-03-12 00:00:00+00:00,24020.0,75597.5
2021-03-16 00:00:00+00:00,23300.0,75839.5
2021-03-18 00:00:00+00:00,21760.0,76720.5
2021-03-19 00:00:00+00:00,22600.0,76098.5
2021-03-22 00:00:00+00:00,22560.0,75990.5
2021-03-26 00:00:00+00:00,22530.0,76008.5
2021-03-30 00:00:00+00:00,22205.0,76477.5
2021-04-01 00:00:00+00:00,23645.0,75959.5
2021-04-05 00:00:00+00:00,22240.0,76679.5
2021-04-15 00:00:00+00:00,20800.0,78282.5
2021-04-20 00:00:00+00:00,20215.0,78775.5
2021-04-23 00:00:00+00:00,20205.0,78482.5
2021-04-27 00:00:00+00:00,20560.0,78217.5
2021-04-29 00:00:00+00:00,20820.0,77815.5
2021-05-03 00:00:00+00:00,22195.0,77289.5
2021-05-04 00:00:00+00:00,21750.0,77567.5
2021-05-06 00:00:00+00:00,21325.0,77918.5
2021-05-11 00:00:00+00:00,22400.0,76956.5
2021-05-12 00:00:00+00:00,22215.0,76846.5
2021-05-14 00:00:00+00:00,20830.0,78019.5
2021-05-18 00:00:00+00:00,21500.0,77451.5
2021-05-20 00:00:00+00:00,21390.0,77136.5
2021-05-25 00:00:00+00:00,21870.0,76400.5
2021-05-26 00:00:00+00:00,22235.0,76273.5
2021-05-27 00:00:00+00:00,22400.0,76246.5
2021-05-28 00:00:00+00:00,22375.0,76003.5
2021-05-31 00:00:00+00:00,22275.0,75966.5
2021-06-01 00:00:00+00:00,22180.0,76031.5
2021-06-02 00:00:00+00:00,23135.0,75386.5
2021-06-03 00:00:00+00:00,23030.0,75459.5
2021-06-07 00:00:00+00:00,23790.0,75082.5
2021-06-09 00:00:00+00:00,23580.0,75272.5
2021-06-10 00:00:00+00:00,24130.0,74965.5
2021-06-11 00:00:00+00:00,23860.0,74915.5
2021-06-14 00:00:00+00:00,23790.0,74541.5
2021-06-17 00:00:00+00:00,22980.0,74725.5
2021-06-18 00:00:00+00:00,22800.0,75333.5
2021-06-21 00:00:00+00:00,22650.0,75298.5
2021-06-23 00:00:00+00:00,22435.0,75368.5
2021-06-24 00:00:00+00:00,21910.0,75541.5
2021-06-25 00:00:00+00:00,22100.0,75336.5
2021-06-28 00:00:00+00:00,23025.0,75223.5
2021-06-29 00:00:00+00:00,22625.0,75479.5
2021-06-30 00:00:00+00:00,22500.0,75527.5
2021-07-01 00:00:00+00:00,22820.0,75435.5
2021-07-02 00:00:00+00:00,22735.0,75523.5
2021-07-05 00:00:00+00:00,22870.0,75469.5
2021-07-06 00:00:00+00:00,23040.0,75284.5
2021-07-07 00:00:00+00:00,23125.0,75226.5
2021-07-08 00:00:00+00:00,22675.0,75640.5
2021-07-13 00:00:00+00:00,23650.0,74400.5
2021-07-14 00:00:00+00:00,24000.0,73964.5
2021-07-16 00:00:00+00:00,23065.0,74385.5
